,Unnamed: 0,Name,Gender,Time,Text
0,0,Speaker 1,M,00:00:40,But my thoughts were to learn about technology now learning more about technology.
1,1,Speaker 2,M,00:00:50,"Um,. I'm not crazy technology, computers, even phones. I use my phone as a computer. I've got a laptop and a tablet about the use of make things right. So, um, that was it, really. And then I thought, Well, we'll learn something today."
2,2,Speaker 2,M,00:01:21,Yeah.
3,3,Speaker 1,M,00:02:04,"Very. And yeah, yeah."
4,4,Speaker 3,F,00:02:13,"Would you want to go into the, you know, bottom line, you wanted that you want to live on your place and do things in your own time?"
5,5,Speaker 2,M,00:02:31,"It's about different disabilities in one way or another. Looking at the less on the forms so that was 50 percent of where we live. People has got different disabilities. Some people we see struggle and when I became disabled I thought, well, I could get worse as I got older and yeah, I want to be able to stay at home. You know, I don't want to be living in fear of people who live after me, or not being able to do things for yourself. And I think we all feel like that, you know?"
6,6,Speaker 4,M,00:03:10,"So that's the reason I came. I love my home. Yeah, I love where I live with my home is, and I came here in the hope that I can learn to stay there as long as I can. And I'd hate to be in a residential care home, for example. It just would not be my scene."
7,7,Speaker 4,M,00:03:36,I managed to be.
8,8,Speaker 3,F,00:03:40,It drives them nuts within a week.
9,9,Speaker 3,F,00:04:02,Freedom.
10,10,Speaker 3,F,00:04:03,"Yeah, freedom."
11,11,Speaker 2,M,00:04:04,My memories of being one's own boss. Yeah.
12,12,Speaker 5,F,00:04:09,"Yeah, yeah. You guys have got memories. I mean, looking at a piece of furniture remembering. As a partner, we used to sit in that chair for example. But when you go into these homes, I don't think you're able to take very much with you at all apart from your clothes. All right. That's my understanding. I think"
13,13,Speaker 2,M,00:04:29,"it's that you thought correctly correct? You remember, Bill? Yeah, he's in a care home and he is happy enough. But he's he doesn't see anybody. How come the people in and he was running a video of where we live? He was the light of everybody's life in the, you know, he knew everything about the Barbican and everything he could tell you. He's in his 90s. He could tell you everything. And he was always pleasant to listen to. Um, when you went to a care home, you didn't see a lot of people in the building. You got a coffee mornings when you got down, you know? And so he's got more commonly where he is for each of missiles. He misses his family because they all live north and. To me, I couldn't live like that. You know, so,"
14,14,Speaker 3,F,00:08:07,"Well, this picture?"
15,15,Speaker 2,M,00:08:16,"daily activities, yes, it is"
16,16,Speaker 3,F,00:08:37,"Get in and out of bed. Well,  just living. It's not an activity, it's just existing. In fact, it's very sensitive to me at the moment because I'm fighting for some way of being able in and out of bed. And it's happening to have a sleep in the chair. And then because they can't find"
17,17,Speaker 3,F,00:09:05,It's not even mobility is just some sort of equipment and means that I don't have to have a carer coming to put me in and out of bed. so if we are getting emotional it's a bit too ...
