,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,But my thoughts were to learn about technology now learning more about technology.,0.13387404,0.0035103243,0.06238467,0.37682363,0.36988088,0.053526442
1,"Um,. I'm not crazy technology, computers, even phones. I use my phone as a computer. I've got a laptop and a tablet about the use of make things right. So, um, that was it, really. And then I thought, Well, we'll learn something today.",0.053756077,0.010031578,0.032398917,0.053486727,0.011827146,0.83849955
2,Yeah.,0.0057457667,0.005653041,0.011553489,0.5717259,0.038030714,0.36729106
3,"Very. And yeah, yeah.",0.03048189,0.009943833,0.057116605,0.544767,0.051608402,0.30608228
4,"Would you want to go into the, you know, bottom line, you wanted that you want to live on your place and do things in your own time?",0.27822733,0.077254124,0.21645048,0.13465703,0.22208717,0.07132387
5,"It's about different disabilities in one way or another. Looking at the less on the forms so that was 50 percent of where we live. People has got different disabilities. Some people we see struggle and when I became disabled I thought, well, I could get worse as I got older and yeah, I want to be able to stay at home. You know, I don't want to be living in fear of people who live after me, or not being able to do things for yourself. And I think we all feel like that, you know?",0.000840891,1.4662811e-05,0.99727094,0.0017437954,0.00012172051,8.01252e-06
6,"So that's the reason I came. I love my home. Yeah, I love where I live with my home is, and I came here in the hope that I can learn to stay there as long as I can. And I'd hate to be in a residential care home, for example. It just would not be my scene.",0.23802885,0.05531695,0.57178855,0.046504587,0.043986138,0.044374947
7,I managed to be.,0.038891654,0.006485125,0.022806387,0.32600766,0.03081434,0.5749948
8,It drives them nuts within a week.,0.039549727,0.004821651,0.15177676,0.5691044,0.052721277,0.18202619
9,Freedom.,0.02256195,0.0029820846,0.21168053,0.7337002,0.018778348,0.010296884
10,"Yeah, freedom.",0.013193905,0.0027246384,0.061370075,0.8717929,0.013340523,0.037577976
11,My memories of being one's own boss. Yeah.,0.003101298,0.00071946974,0.057523,0.8170326,0.10845624,0.013167432
12,"Yeah, yeah. You guys have got memories. I mean, looking at a piece of furniture remembering. As a partner, we used to sit in that chair for example. But when you go into these homes, I don't think you're able to take very much with you at all apart from your clothes. All right. That's my understanding. I think",0.6162494,0.028076643,0.0484716,0.020346636,0.07871343,0.20814233
13,"it's that you thought correctly correct? You remember, Bill? Yeah, he's in a care home and he is happy enough. But he's he doesn't see anybody. How come the people in and he was running a video of where we live? He was the light of everybody's life in the, you know, he knew everything about the Barbican and everything he could tell you. He's in his 90s. He could tell you everything. And he was always pleasant to listen to. Um, when you went to a care home, you didn't see a lot of people in the building. You got a coffee mornings when you got down, you know? And so he's got more commonly where he is for each of missiles. He misses his family because they all live north and. To me, I couldn't live like that. You know, so,",0.02346352,0.018091097,0.10903436,0.043495655,0.7057565,0.10015891
14,"Well, this picture?",0.003301801,0.001443343,0.0155040715,0.53371036,0.018954193,0.4270862
15,"daily activities, yes, it is",0.038168047,0.0035728558,0.118983686,0.73482436,0.029808609,0.074642465
16,"Get in and out of bed. Well,  just living. It's not an activity, it's just existing. In fact, it's very sensitive to me at the moment because I'm fighting for some way of being able in and out of bed. And it's happening to have a sleep in the chair. And then because they can't find",0.008542788,0.0009200993,0.055678282,0.9217584,0.009649246,0.003451146
