,index,Name,Gender,Time,Text
0,4,Speaker 3,F,00:02:13,"Would you want to go into the, you know, bottom line, you wanted that you want to live on your place and do things in your own time?"
1,8,Speaker 3,F,00:03:40,It drives them nuts within a week.
2,9,Speaker 3,F,00:04:02,Freedom.
3,10,Speaker 3,F,00:04:03,"Yeah, freedom."
4,12,Speaker 5,F,00:04:09,"Yeah, yeah. You guys have got memories. I mean, looking at a piece of furniture remembering. As a partner, we used to sit in that chair for example. But when you go into these homes, I don't think you're able to take very much with you at all apart from your clothes. All right. That's my understanding. I think"
5,14,Speaker 3,F,00:08:07,"Well, this picture?"
6,16,Speaker 3,F,00:08:37,"Get in and out of bed. Well,  just living. It's not an activity, it's just existing. In fact, it's very sensitive to me at the moment because I'm fighting for some way of being able in and out of bed. And it's happening to have a sleep in the chair. And then because they can't find"
7,17,Speaker 3,F,00:09:05,It's not even mobility is just some sort of equipment and means that I don't have to have a carer coming to put me in and out of bed. so if we are getting emotional it's a bit too ...
8,28,Speaker 3,F,00:14:08,"Yeah, well, not at the moment, but stairs, perhaps at some point in the future."
9,29,Speaker 3,F,00:14:17,"Yes. Well, also outside the house is two dozen stairs up from the road to the house, so maybe I'll have to move at some point."
10,34,Speaker 5,F,00:15:53,"Yeah, yeah, no. I'm sure I could go all the way to Bodmin to do a wee, awfull."
11,37,Speaker 3,F,00:17:00,"without it through your lockdown, you wouldn't have seen anybody that didn't have no children with anybody who didn't have that. You're isolated you"
12,39,Speaker 3,F,00:17:12,"I mean, I think the said, I know it's unusual that the pandemic will take the effect on mental health as being. Of jobs,"
13,44,Speaker 3,F,00:20:04,"You know, I was very, very lucky at the very beginning. I had a heart bypass and my daughter took me up to Kent to stay with her. Unfortunately, not going to school. I was there, so she got stuck with me for three weeks, unfortunately. And you know, any excuse because they brought me back in time or had my first job in Kent and they brought me back to have a second one here. Uh huh.. I must be horrible. Well, it doesn't bother me. I mean, where I live, we don't have a community centre. We don't have anywhere we can go and talk. So I was in the courtroom every day, but I just didn't"
14,45,Speaker 3,F,00:20:59,"day. Yeah. Well, I'm lucky I live on the Hoe. Oh, so I've only I've only got to walk five minutes. I'm actually on the Hoe a life long live every day for a little walk and talk again. I mean, I used to see some of the neighbours, but. You know, we didn't mix."
15,46,Speaker 5,F,00:21:20,"is the ones that couldn't get out in the community. I mean, there's the bungalows and we could see if we couldn't meet up with them and it was fun to see people there was certain neighbours that we had couldn't leave home. I don't blame them. And it could be that. And I love the interaction of people. But without Zoom and teams and all that, I well, I would recommend. Definitely. I mean, I wouldn't have been able to see my family without the internet."
16,47,Speaker 3,F,00:21:53,I haven't got the internet or and I don't use the computer now just it doesn't bother me from the get go and don't bother me when I have to contact firms and they
17,48,Speaker 5,F,00:22:11,"or doctors. Doctors, now that they are nightmares now because I'm trying to get hold on to an e-consult and if you're not on the internet now, for your prescriptions and contacting doctors. That is huge!"
18,49,Speaker 5,F,00:22:27,"yeah. Well, there again, I'm very lucky because when I want my prescription, I'll just bring up a little chemist in West Hoe and they they just routinely get it and they deliver it to me."
19,50,Speaker 3,F,00:22:41,I hope they are not going to stopping that.
