,Text,Happy,Angry,Surprise,Sad,Fear
0,You're welcome participation as well. No worries.,0.5,0.0,0.0,0.5,0.0
1,I live on my own.,0.0,0.0,0.0,0.0,0.0
2,I live on my own too,0.0,0.0,0.0,0.0,0.0
3,I live with my partner and my two cats.,0.0,0.0,0.0,0.0,1.0
4,I live with a partner on one cat.,0.0,0.0,0.0,0.0,1.0
5,"I live with my partner, and sadly no, no cat .",0.0,0.0,0.0,0.0,1.0
6,"Very important. Well, obviously I'm not at home all the time. All. It's my space. It's my home, and I can do anything I want. I don't have to please anyone.",0.2,0.0,0.0,0.8,0.0
7,"Yeah. I don't think I'd mind because if I feel that I need help with somebody around in case something happens to be, I feel bad for somebody with. You know, if that was something someone was knocking every day or checking, if I'm OK.",0.2,0.0,0.4,0.4,0.0
8,My children are always on the phone.,0.0,0.0,0.0,1.0,0.0
9,Are they?,0.0,0.0,0.0,0.0,0.0
10,"Yeah, that's my biggest fear. I don't have children. I don't want to be amongst other people. I want to stay inmy own home, but what happens if Rob is not there like it and I get poorly, I just die in the living room probably. Laughs..",0.0,0.29,0.0,0.43,0.29
11,"I mean, you know, we're lucky we got intercoms posts in our flat. So if benefit was to happen, we could get straight on a medical. So my hope is that gives me confidence. What my daughter come down for 10 days before it's gone?",0.25,0.0,0.0,0.12,0.62
12,"She took over my telly, she took over my chair and everything else I don't like. I'm like oh, oh.",0.0,0.25,0.5,0.25,0.0
13,"And also when you've got a lot of people around you that you're not used to having around you, you're like, Oh, I have to dress, I have to brush my hair. I have to be on my best behaviour. I have to be nice to people.",0.2,0.0,0.6,0.2,0.0
14,"You take me up so hard, if you don't like it, bye bye.",0.0,1.0,0.0,0.0,0.0
15,"But let's do it, and I work you from home like we are now, aren't we? It's just very. The only time I actually put all my work clothes is ... Now, obviously we are allowed to go out and do visits again when we were when it was totally working from home. Any time I would actually get dressed, get sort of get dressed, put in a nice top and brush my hair was when we had Zoom meetings. Otherwise, I'll be like... yeah.",0.07,0.0,0.33,0.33,0.27
16,I'm shaving less often.,0.0,0.0,0.0,0.0,0.0
17,"and I keep my pyjamas on, you know it's raining what I want to get dressed for.",0.0,0.0,0.0,0.0,0.0
18,"Because at young age after you spend all your life trying to impress people, you become so many different people's to try to fit in, and you lose your own identity, you know, so I think, well, if you don't like me, so I'm not going to like me if I'm dressed in mine. So, yeah, you know, professional person, they're not going to like me.",0.22,0.22,0.11,0.11,0.33
19,So this is no surprises.,0.0,0.0,1.0,0.0,0.0
20,"When  you're saying about living independently. So I when my two were little, I worked in several different care homes like one was a Devon County care home and it's gone now. It's a 52 bed one. And it was their lounges on three separate floors. Much the same size as six chairs all the way around, and in the corner was like I say, a normal sized TV like we would've had years ago in our own front rooms, not as big as these  even, and people were just staring at that space or nothing in sight. And I would hate the thought that that would ever happen to me. You know, it's just it's horrendous.",0.0,0.0,0.36,0.21,0.43
21,"I don't like the idea of not being able to eat the foods that I want to eat. So somebody is going to come and give me like school dinners, a plate of something that I don't like or don't enjoy. And that's my only choice, especially if I'm in a position where, you know, I'm not well enough to go out and buy food or cook food. So that scares me. The I'll spend the end of my life, you know, just looking at the slop on the plate",0.09,0.27,0.0,0.18,0.45
22,Tapioca!,0.0,0.0,0.0,0.0,0.0
23,"You can't. Just existing, not doing anything.",0.0,0.0,0.0,0.0,0.0
24,"No joy! Yeah, exactly. Yeah, it takes all the joy out of life is, you know, this is all that's left to me. I don't have to worry about my weight anymore, but look what I've got to eat and that's not very inspiring.",0.14,0.0,0.14,0.43,0.29
25,"Exactly, I want to enjoy my food because .",1.0,0.0,0.0,0.0,0.0
26,"Yeah, what's left to me?",0.0,0.0,0.0,0.0,0.0
27,"Yeah, I am not able to walk or anything, but yeah, you just yeah...",0.0,0.0,0.0,1.0,0.0
28,"I've got got a man living next door to me, he is a hundred and one, and without a support from his family, I don't know, how he would get on because he's slowing down more and more and more is falling over a lot. He sits out to eat his food and everything else. So, you know, see, without  family around. You can be a bit lost.",0.0,0.0,0.25,0.5,0.25
29,Thanks for that sort of thing.,0.0,0.0,1.0,0.0,0.0
30,"I'm sorry, but my family's no good. I'm better off without them. You know, I came out of hospital after an operation and its first time I asked my daughter to come up to look after me and I am the one who has to get up and do the dinner. So what would change? hello.",0.12,0.0,0.5,0.12,0.25
31,"I like gardening, so I'd like green space to look after when I'm older. Feed the birds and stuff like that.",0.0,1.0,0.0,0.0,0.0
32,"So Mary Poppins, I will sing it in my head. Yeah, yeah, that's right. Uh, uh,",0.0,0.0,0.0,0.0,1.0
33,"uh, exercise. I like to walk in, but obviously I have problems with my legs now. So in ten years time, I don't know. Well, it's my sisters and my mom is the same, so",0.0,0.0,0.0,0.67,0.33
34,"I'd agree because, as you know, I don't. Yeah, so I want to be able to keep them dancing as long as possible. But also I don't want people to just say, Oh, Hazel, this is your chronological age. So you now have to do seated exercise when you get to do this kind of exercise because they they've seen me on a piece of paper saying that, you know, you may be this age. So they've made an assumption about what I can do physically or not.",0.08,0.25,0.17,0.25,0.25
35,"So they have pigeonholed you. I'd say, Yeah,",0.0,0.0,1.0,0.0,0.0
36,"Walking, I like countryside walking.",0.0,0.0,0.0,0.0,0.0
37,"and cycling,",0.0,0.0,0.0,0.0,0.0
38,"I've never been on the bike for years,.",0.0,0.0,0.0,0.0,0.0
39,"I  know, we should go bike riding.",0.0,0.0,0.0,0.0,0.0
40,It's not that flat in Plymouth by the way.,0.0,0.0,0.0,1.0,0.0
41,"Yeah, but you've got electric bikes today, you know, I think it makes it easier.",0.0,0.0,0.67,0.33,0.0
42,"After another 10 years, I might have a scooter.",0.0,1.0,0.0,0.0,0.0
43,"Yeah, you can. Do you miss walking?",0.0,0.0,0.0,1.0,0.0
44,I used to walk everywhere.,0.0,0.0,0.0,0.0,0.0
45,Do you miss it now that you can't do it? Well.,0.0,0.0,0.0,1.0,0.0
46,"No, I do miss it because I've got this bulges in my spine and the the vertebraes are starting to crumble. And I might get a pinch in my nerve, and my legs just give up and fall to the floor. So I was out with my daughter last week to the Barbican to the Hooe, every five minutes or so, I sit down. And the last two bus stops, I've got a bus I wanted to go home. and I suffered for days after. I don't take painkillers because of if I ever do it and I could, my legs could collapse way with me while I go across the road or anything like that.",0.11,0.11,0.22,0.33,0.22
47,"Yeah, this is kind of masks the real problem, doesn't it?",0.25,0.0,0.0,0.5,0.25
48,"Yeah, sort of..",0.0,0.0,0.0,0.0,0.0
49,"I think washing, and that sounds a bit bizarre. But washing and looking after myself, dressing myself, you know, in the future, yeah, feels like a bit of a scary prospect. You know, you got yourself if you've had an operation, you got hit by a car, so you can actually look. And seeing how little it takes for you to not be able to wash or getting out of the bath and, you know, look, look after yourself. You don't think of it when you're well. But as soon as you can't do that..",0.0,0.1,0.3,0.2,0.4
50,"My mom, she's got diabetes and she goes for dialysis three times a week. She's she's blind, so she she can't cook for herself. My sister's a carer. But she can still shower herself a shower. She can still get herself ready, but she gets so upset because she can't see, so, yeah, yeah, and yeah, so it's really hard for like, see my mom being like family, she was doing everything for me. Now, it's the other way around, but my daughter sees that, you know, like with my grand children, she says, you're wiping their bums. I'll be wiping your bum when we get old. I don't ever want you to do that. She says that to me all the time, I just doesn't say bums.",0.07,0.07,0.47,0.27,0.13
51,"Yeah, yeah, yeah. I can imagine. What is she looking forward to it or something?",0.0,0.0,1.0,0.0,0.0
52,"I don't know, laughs. So I don't go to do this, do that, but do that. Can you change Alison's nappy, I don't know. For God's sake, Laura, I'm just want to sit down for two minutes and say this. Don't worry, I'll be doing yours when you get old. I'll be wiping.",0.0,0.0,0.4,0.6,0.0
53,"Oh, bless you.",1.0,0.0,0.0,0.0,0.0
54,I guess it's the mental distress that it causes. Isn't it ? when you can't do what you were used to  maybe ??? with life? Yeah. You know.,0.0,0.0,0.25,0.5,0.25
55,"Yeah, my mom is all like that sometimes, she'd say  I wish I weren't here and she's eighty six this year.",0.0,0.0,1.0,0.0,0.0
