,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,You're welcome participation as well. No worries.,0.034380123,0.007326452,0.09022194,0.38457128,0.022163935,0.46133626
1,I live on my own.,0.021487512,0.003265678,0.0690767,0.52522904,0.37380067,0.007140403
2,I live on my own too,0.013500019,0.004129556,0.06487794,0.35767418,0.5530444,0.0067739408
3,I live with my partner and my two cats.,0.0011437254,0.00018637332,0.0031039491,0.89809376,0.0072257956,0.09024639
4,"I live with my partner, and sadly no, no cat .",0.005126241,0.0010346195,0.005055461,0.214778,0.70872086,0.06528482
5,"Very important. Well, obviously I'm not at home all the time. All. It's my space. It's my home, and I can do anything I want. I don't have to please anyone.",0.30166426,0.01485393,0.07836509,0.49700066,0.041591708,0.066524364
6,My children are always on the phone.,0.03238879,0.0030258265,0.002762882,0.9128304,0.032111436,0.016880628
7,"Yeah, that's my biggest fear. I don't have children. I don't want to be amongst other people. I want to stay inmy own home, but what happens if Rob is not there like it and I get poorly, I just die in the living room probably. Laughs..",0.042377222,0.0036499773,0.07653501,0.51537204,0.35615718,0.0059085526
8,"I mean, you know, we're lucky we got intercoms posts in our flat. So if benefit was to happen, we could get straight on a medical. So my hope is that gives me confidence. What my daughter come down for 10 days before it's gone?",0.019907119,0.018788962,0.73536366,0.18506011,0.01597597,0.024904173
9,"She took over my telly, she took over my chair and everything else I don't like. I'm like oh, oh.",0.12045118,0.026732756,0.056691963,0.2717952,0.104660176,0.41966873
10,"And also when you've got a lot of people around you that you're not used to having around you, you're like, Oh, I have to dress, I have to brush my hair. I have to be on my best behaviour. I have to be nice to people.",0.024212865,0.023932898,0.008606639,0.8687214,0.021830995,0.052695177
11,"You take me up so hard, if you don't like it, bye bye.",0.26711026,0.044954482,0.23944683,0.13777137,0.23580842,0.07490864
12,"But let's do it, and I work you from home like we are now, aren't we? It's just very. The only time I actually put all my work clothes is ... Now, obviously we are allowed to go out and do visits again when we were when it was totally working from home. Any time I would actually get dressed, get sort of get dressed, put in a nice top and brush my hair was when we had Zoom meetings. Otherwise, I'll be like... yeah.",0.0046219565,0.00056330994,0.007375621,0.41526872,0.048142,0.52402836
13,"and I keep my pyjamas on, you know it's raining what I want to get dressed for.",0.006591835,0.0011183502,0.039044403,0.4541802,0.36507982,0.1339854
14,"Because at young age after you spend all your life trying to impress people, you become so many different people's to try to fit in, and you lose your own identity, you know, so I think, well, if you don't like me, so I'm not going to like me if I'm dressed in mine. So, yeah, you know, professional person, they're not going to like me.",0.25478333,0.029269725,0.026137915,0.27847677,0.114734925,0.29659733
15,So this is no surprises.,0.0019240887,0.001045362,0.013781951,0.07095791,0.02689407,0.8853966
16,"When  you're saying about living independently. So I when my two were little, I worked in several different care homes like one was a Devon County care home and it's gone now. It's a 52 bed one. And it was their lounges on three separate floors. Much the same size as six chairs all the way around, and in the corner was like I say, a normal sized TV like we would've had years ago in our own front rooms, not as big as these  even, and people were just staring at that space or nothing in sight. And I would hate the thought that that would ever happen to me. You know, it's just it's horrendous.",0.004460039,0.04406567,0.7866407,0.13658771,0.010320005,0.017925888
17,"I don't like the idea of not being able to eat the foods that I want to eat. So somebody is going to come and give me like school dinners, a plate of something that I don't like or don't enjoy. And that's my only choice, especially if I'm in a position where, you know, I'm not well enough to go out and buy food or cook food. So that scares me. The I'll spend the end of my life, you know, just looking at the slop on the plate",0.10535981,0.014646618,0.6599042,0.07755076,0.13472588,0.007812722
18,"You can't. Just existing, not doing anything.",0.19363555,0.024699058,0.13320857,0.062023085,0.119193345,0.46724036
19,"No joy! Yeah, exactly. Yeah, it takes all the joy out of life is, you know, this is all that's left to me. I don't have to worry about my weight anymore, but look what I've got to eat and that's not very inspiring.",0.022553325,0.0010081044,0.6177992,0.35040915,0.007032641,0.0011975556
20,"Exactly, I want to enjoy my food because .",0.32053024,0.0074615073,0.030575728,0.27559167,0.32408145,0.04175944
21,"Yeah, what's left to me?",0.015972665,0.008473369,0.1387938,0.045449886,0.217232,0.57407826
22,"Yeah, I am not able to walk or anything, but yeah, you just yeah...",0.117565036,0.0251226,0.037861694,0.45702672,0.14615801,0.21626593
23,"I've got got a man living next door to me, he is a hundred and one, and without a support from his family, I don't know, how he would get on because he's slowing down more and more and more is falling over a lot. He sits out to eat his food and everything else. So, you know, see, without  family around. You can be a bit lost.",0.09898413,0.0060956795,0.3245198,0.16251303,0.40135512,0.0065322304
24,Thanks for that sort of thing.,0.12039788,0.014382433,0.029648764,0.3688174,0.039194394,0.4275591
25,"I'm sorry, but my family's no good. I'm better off without them. You know, I came out of hospital after an operation and its first time I asked my daughter to come up to look after me and I am the one who has to get up and do the dinner. So what would change? hello.",0.007342217,0.002863054,0.079614155,0.7767699,0.009719388,0.123691335
26,"So Mary Poppins, I will sing it in my head. Yeah, yeah, that's right. Uh, uh,",0.03205476,0.003186486,0.022272069,0.55646306,0.35785797,0.028165665
27,"uh, exercise. I like to walk in, but obviously I have problems with my legs now. So in ten years time, I don't know. Well, it's my sisters and my mom is the same, so",0.049479786,0.004877944,0.0072203632,0.39662713,0.14336812,0.39842665
28,"I'd agree because, as you know, I don't. Yeah, so I want to be able to keep them dancing as long as possible. But also I don't want people to just say, Oh, Hazel, this is your chronological age. So you now have to do seated exercise when you get to do this kind of exercise because they they've seen me on a piece of paper saying that, you know, you may be this age. So they've made an assumption about what I can do physically or not.",0.04659819,0.1385527,0.42895782,0.21777637,0.015285903,0.15282904
29,"So they have pigeonholed you. I'd say, Yeah,",0.018061126,0.01070637,0.019918034,0.2857365,0.10275043,0.5628275
30,"and cycling,",0.018611545,0.00095515675,0.028139379,0.93325007,0.006809835,0.012234043
31,"I've never been on the bike for years,.",0.015065174,0.012755662,0.092141286,0.23083661,0.27705345,0.3721478
32,"I  know, we should go bike riding.",0.058963373,0.0018297995,0.035192393,0.7693799,0.02359409,0.111040436
