,Text,Happy,Angry,Surprise,Sad,Fear
0,I live with a partner on one cat.,0.0,0.0,0.0,0.0,1.0
1,"Yeah. I don't think I'd mind because if I feel that I need help with somebody around in case something happens to be, I feel bad for somebody with. You know, if that was something someone was knocking every day or checking, if I'm OK.",0.2,0.0,0.4,0.4,0.0
2,Are they?,0.0,0.0,0.0,0.0,0.0
3,I'm shaving less often.,0.0,0.0,0.0,0.0,0.0
4,Tapioca!,0.0,0.0,0.0,0.0,0.0
5,"I like gardening, so I'd like green space to look after when I'm older. Feed the birds and stuff like that.",0.0,1.0,0.0,0.0,0.0
6,"Walking, I like countryside walking.",0.0,0.0,0.0,0.0,0.0
7,It's not that flat in Plymouth by the way.,0.0,0.0,0.0,1.0,0.0
8,I guess it's the mental distress that it causes. Isn't it ? when you can't do what you were used to  maybe ??? with life? Yeah. You know.,0.0,0.0,0.25,0.5,0.25
9,"And I think it'd be quite nice. I mean, people do things for you.",0.33,0.0,0.67,0.0,0.0
10,"yeah, I won't mind.",0.0,1.0,0.0,0.0,0.0
11,I just give them more jobs.,0.0,0.0,0.0,0.0,1.0
12,"Yeah, I've seen it right. I enjoy a good book or good films. I just noticed reading that I really enjoy a good book or watching a good film.",0.6,0.0,0.2,0.0,0.2
13,"Yeah, I'll make rude comment",0.0,0.0,0.5,0.5,0.0
14,"Yes, yes. You know, regarding the car accident, you had to.",0.33,0.0,0.0,0.67,0.0
15,A few of us mentioned walking.,0.0,0.0,0.0,0.0,0.0
16,"Cooking is fun, isn't it? because you can look forward to eating after that.",0.5,0.0,0.0,0.0,0.5
17,"I think I have it for granted in a way, but it's taken away. Yeah. See if you are alone for the week.",0.0,0.25,0.5,0.25,0.0
18,"Well, isolation was used in prisons as a punishment, wasn't it?",0.0,0.0,0.0,1.0,0.0
19,Oh yeah. So you'd be locked on your own.,0.0,0.0,0.0,0.0,0.0
20,"And I think there was a study made by a bit of a cruel statistically, but I think they did it with cats and the cats would be happier if you had any kind of contact, even if it was negative contact if it was just hit. Kind of thing, rather than stroke, it would be happier just because of the contact. So they were saying, well, that could be sort of people as well. Yeah. So just bad, any contact was better than nothing at all which is weird.",0.12,0.06,0.29,0.35,0.18
21,Very important! Laughs..,1.0,0.0,0.0,0.0,0.0
22,"Well, that's where you got all the guts??? Said, which is great things you wouldn't say in the office.",0.17,0.0,0.5,0.17,0.17
23,"And you get to learn about all the teams because suddenly we're going to talk of the other teams in the organisation unless there's a meeting or something or something formal. So, yeah, so you get to know what's happening in their little neck of the woods.",0.0,0.0,0.0,0.0,1.0
24,"Yeah, yeah. There's a can opener??? Which is really good. Yeah.",0.5,0.0,0.5,0.0,0.0
25,You could put the light somewhere else?,0.0,0.0,0.0,1.0,0.0
26,A lack of money could be a barrier.,0.0,0.0,0.0,0.0,0.0
27,"You've got to qualify, I think. Yeah. And then social services would help you.",0.0,0.0,0.5,0.0,0.5
28,"And it's knowing that that help is out there as well, because you may not know that you could get help. Yeah. So it'd be nice if somebody came to see you and explained, Oh yeah, you could have this, you could have that because I'm sure a lot of think lots of older people don't claim certain things today and that they're entitled to.",0.07,0.07,0.36,0.21,0.29
29,"Yeah, yeah, yeah. Well, she's paid all her life social insurance. That's what it's for, isn't it?",0.0,0.0,0.0,0.0,1.0
30,Especially with clothes because you want to feel them and try them on.,0.0,0.0,0.0,0.0,0.0
31,Look for the bargains.,0.0,0.0,0.0,0.0,0.0
32,They don't always give you the very thing either.,0.0,0.0,0.33,0.33,0.33
33,"It's the same colour..Laughs.  Yeah, yeah.",0.0,0.0,0.0,0.0,0.0
34,"Yes. Knowledge. Would it be big for me? Knowledge knowing? Yeah, yeah. Information?",0.0,0.0,0.0,0.5,0.5
35,Yeah. So it's something you haven't heard about,0.0,0.0,0.0,0.0,0.0
36,something like 65.,0.0,0.0,0.0,0.0,0.0
37,Transport.,0.0,1.0,0.0,0.0,0.0
38,"Oh, I see.",0.0,0.0,0.0,0.0,0.0
39,"Maybe the mobility? Yeah. Mhm. Yeah. Like, moving yourself and also transporting things. So it's more like for mobility. Yeah. Yeah.",0.0,0.5,0.5,0.0,0.0
40,"Yeah, something like this. I loved the whole knowledge that you guys talked about because this is something that's not exactly physical. It doesn't fit anywhere, but it's just amazing. And I think that that's something we need to think about.",0.17,0.0,0.5,0.17,0.17
41,An information centre.,0.0,0.0,0.0,0.0,0.0
42,"Because it's always something you learn like, Oh, I didn't know. But even now in my job and I should know what's out there, mostly. But that's always something I think I've got to know about that.",0.0,0.0,0.2,0.6,0.2
43,"They are company, aren't they?",0.0,0.0,0.0,0.0,0.0
44,something to worry about.,0.0,0.0,0.0,1.0,0.0
45,When did she die?,0.0,0.0,0.0,0.0,0.0
46,Oh yeah. Are you going to get another one?,0.0,0.0,0.0,0.0,1.0
47,Just take on home.,0.0,0.0,0.0,1.0,0.0
48,"Yeah, it comes with adaptations.",0.0,0.0,1.0,0.0,0.0
49,"It's a very broad categories, so...",0.0,0.0,0.0,0.0,1.0
50,"no. It's nice down there, isn't it?",1.0,0.0,0.0,0.0,0.0
51,Is it a shared table  or something like that? I don't know.,0.0,0.0,0.0,1.0,0.0
52,"I was going to say often it's we compared to China you know, where the culture is different, where the elderly are more respected. I mean, we don't live in the same house. Yeah, there is more social connections. Well, in Britain, we've lost a lot of that in the last century, I think.",0.14,0.0,0.29,0.29,0.29
53,"It's kind of interesting stuff, you know, you just got to try  once you're older, you know, like, you know, well, maybe somebody younger. Yeah. So maybe not so valued.",0.67,0.33,0.0,0.0,0.0
54,You need to put your foot down.,0.0,0.0,0.0,1.0,0.0
55,"Because it's a big social thing with Facebook and stuff now. Yeah, yeah.",0.0,0.33,0.33,0.0,0.33
56,"Unless she missed it, you know, because you are told so many things anyway and you can't remember everything.",0.0,0.0,0.17,0.67,0.17
57,"I'm thinking about social groups as well as clubs, and there is like something holding people back like all that's not for me. Oh, that's not my kind of thing. Well, in fact, if you were to go along with it, make new friends and probably have a laugh. Yeah, and it would be generally, good, good for them. So I think people should be encouraged to do more.",0.33,0.0,0.33,0.08,0.25
58,"It is creating the family, I suppose, isn't it?",0.0,0.0,0.5,0.0,0.5
59,Like the TV is a big social friend for people as well.,0.5,0.0,0.0,0.0,0.5
60,"Whatever people can access, I guess. Yeah, but it's like a friend in the corner, isn't it? yeah. Keep it coming.",0.33,0.0,0.67,0.0,0.0
61,What was that Gogglebox?,0.0,0.0,0.0,0.0,0.0
62,"When I watch someone, I feel as if I'm there with them, in the chats as it were, so it's like, Oh, they're my friends. So it's kind of like a social contact in a way. Yeah, it's weird.",0.5,0.0,0.25,0.0,0.25
63,I prefer face to face.,1.0,0.0,0.0,0.0,0.0
64,"Hmm. I don't know, the interaction isn't as fluid. Yeah, no.",0.0,0.0,0.0,1.0,0.0
65,I don't mind it.,0.0,1.0,0.0,0.0,0.0
66,"Well, I got some Facebook. I've never would have otherwise.",0.0,0.0,0.0,0.0,1.0
67,"Because I'm a bit phobic of technology,",0.0,0.0,0.0,0.0,1.0
68,What's the topic?,0.0,0.0,0.0,0.0,0.0
69,Have you got a bar?,0.0,0.0,0.0,0.0,0.0
70,"Family is a support, yeah",0.0,0.0,1.0,0.0,0.0
71,Social Connections.,0.0,0.0,0.0,0.0,1.0
72,"Yeah, OK. I think technology, TV and social media are the big one.",0.0,0.0,0.5,0.0,0.5
73,because we I think people watch tons of TV.,0.0,0.0,1.0,0.0,0.0
74,"What about mental health in terms of if you're going physically going worse, you feel bad in your head. Yes. And then you don't feel like going out to meeting people.",0.0,0.0,0.0,0.5,0.5
75,When we can't be bothered to go to the church. You know what you're feeling?,0.0,0.0,1.0,0.0,0.0
76,Drugs.,0.0,0.0,0.0,0.0,0.0
