,Name,Gender,Time,Text
0,Speaker 1,F,00:04:38,"Well, this. Well, you don't want any meal kit now."
1,Speaker 2,F,00:04:46,"You want your independence. Yeah, yeah. So it's been kind of a bit of freedom as well. You know, you've worked all your life lived all your life independently and then to get somebody else to be telling you what you should be doing. Yeah. You know, while you can still do it yourself, you understand?"
2,Speaker 3,F,00:05:04,Having your kids do it on the phone.
3,Speaker 1,F,00:05:06,"Oh yeah. I don't want to be sat in a chair then, and old people just want when it's time."
4,Speaker 4,F,00:05:27,"I think if you live in a home and you really become institutionalised, you know, I I mean, I know many people that have moved to the home and they were they were finaly independent in their own home, but they've completely changed when they go into their homes. That's one reason why I want to stay in my own home."
5,Speaker 1,F,00:05:49,"And, you know, people could stay longer independently in their own home, but still might need a bit of support, like a bit of a care package, somebody coming in, maybe just to check on them, not necessarily to do something for them, but just to check their all right. And they've taken the medication, you know, and that helps them stay longer. They don't actually want somebody in there."
6,Speaker 1,F,00:06:20,"But that's that can be quite spooky as well, because I've worked with people with dementia and they put in place different needs to keep them safe at home, like. They they made a recording of their daughter's voice, prompting them to take their medication. Yeah, and it's like that. Well, that can be spooky. If you've got dementia you suddenly got your daughter talking at 10 o'clock at night. Yeah. You she then spent the next few hours looking for her."
7,Speaker 2,F,00:06:49,"No. You know, there was like sensor pads in the bed. But if you set it for eight o'clock in the morning and if you weren't at that bed by 8:30, you get a prompt for what we would like laying but  you know. That type of thing, we have physically seen where voice is coming from. I think here is as an adverse effect on a lot of people."
8,Speaker 3,F,00:07:15,"I've found too. My aunt's got dementia and I was talking to her on the phone when she was still answering the phone and she'd be going on about these people cooking all these lovely meals and then drinking my wine, she said. I've paid for it. They never offered me any and I never get the meal. I was really surprised about this because she got a carer and I wasn't too sure of. And then it tweaked I said: have you got and it was John and Lisa on cooking on a Saturday morning on the television, and she said the television was was real. It took me a while to dig in because she is..."
9,Speaker 4,F,00:08:06,"Did you say, Jill, that she had dementia?"
10,Speaker 3,F,00:08:09,"Yes, she said she got diagnosed"
11,Speaker 4,F,00:08:11,"with Alzheimer's dementia, it's very very difficult. You have to worry about a robot."
12,Speaker 5,F,00:08:30,"we deviate until she's got a brain. So much, much harder. Yes. Yes. So this is not what we are."
13,Speaker 5,F,00:08:55,Walking. Going outside and walking everyday you have to do.
14,Speaker 4,F,00:09:04,"Yeah, yeah, we do. When you took it, you did. Four of us here do Taichi, dancing."
15,Speaker 4,F,00:09:16,"I thought we'd been on hold. Yeah. Yeah. If we're walking for health today,"
16,Speaker 4,F,00:09:23,an we do DJ dancing. Don't forget our DJ dancing. Sorry because the racing is starting these days?
17,Speaker 3,F,00:09:31,"I think it's going out into the Fresh air. I say that. But if I just let you use it fresh off, they need you to just go out. Yeah, I think it's expensive that I think as a matter of law, you can you could use it as well. Yes, I can live outside well, it's 50 times what. But once you get to the stage when some things that might help stem"
18,Speaker 4,F,00:10:15,"You know the Taichi, with a lot of older people, they don't realise it, but it is so good for you. Oh yeah. Do you konw if you get something really wrong with you and you have a physio? Let's say a physio, most of the exercises they do is the same ones that we do at Taichi, and it's just ample. Do you agree that it's good for you?"
19,Speaker 4,F,00:10:39,"Because it's a social event as well, it's not just going for the exercise.It's a social adventure, it sounds lovely."
