,Tweet,Anger,Depression,Fatigue,Vigour,Tension,Confusion
0,But my thoughts were to learn about technology now learning more about technology.,0.11100777,0.16854082,0.003084449,0.0005578282,0.017264126,0.69954497
1,"Um,. I'm not crazy technology, computers, even phones. I use my phone as a computer. I've got a laptop and a tablet about the use of make things right. So, um, that was it, really. And then I thought, Well, we'll learn something today.",0.8360827,0.05217726,0.0011920847,6.3763687e-06,0.082453534,0.028088069
2,Yeah.,0.31475717,0.4047367,0.081647985,0.0077855387,0.029910328,0.16116227
3,"Very. And yeah, yeah.",0.33315718,0.36539665,0.11738115,0.010587804,0.06942079,0.10405644
4,"Would you want to go into the, you know, bottom line, you wanted that you want to live on your place and do things in your own time?",0.66246384,0.29966903,0.0008830526,0.002965302,0.019475741,0.014543041
5,"It's about different disabilities in one way or another. Looking at the less on the forms so that was 50 percent of where we live. People has got different disabilities. Some people we see struggle and when I became disabled I thought, well, I could get worse as I got older and yeah, I want to be able to stay at home. You know, I don't want to be living in fear of people who live after me, or not being able to do things for yourself. And I think we all feel like that, you know?",0.0034501832,0.9955731,1.4307396e-07,5.5194917e-08,8.050357e-05,0.000896014
6,"So that's the reason I came. I love my home. Yeah, I love where I live with my home is, and I came here in the hope that I can learn to stay there as long as I can. And I'd hate to be in a residential care home, for example. It just would not be my scene.",0.024617787,0.0003148154,0.34790018,0.52108777,0.101890996,0.0041884473
7,I managed to be.,0.18250768,0.17960466,0.11499665,0.10990893,0.020660594,0.39232147
8,It drives them nuts within a week.,0.18242007,0.18923372,0.060409866,0.009082802,0.5189177,0.039935872
9,Freedom.,0.16181606,0.49409953,0.051881753,0.023786474,0.048471216,0.21994498
10,"Yeah, freedom.",0.2587049,0.4013061,0.11495002,0.03909799,0.01941688,0.16652411
11,My memories of being one's own boss. Yeah.,0.032222636,0.7124406,0.031300068,0.005865179,0.017949896,0.2002216
12,"Yeah, yeah. You guys have got memories. I mean, looking at a piece of furniture remembering. As a partner, we used to sit in that chair for example. But when you go into these homes, I don't think you're able to take very much with you at all apart from your clothes. All right. That's my understanding. I think",0.5204045,0.016496504,3.7716007e-05,7.1796805e-08,1.4397256e-05,0.4630468
13,"it's that you thought correctly correct? You remember, Bill? Yeah, he's in a care home and he is happy enough. But he's he doesn't see anybody. How come the people in and he was running a video of where we live? He was the light of everybody's life in the, you know, he knew everything about the Barbican and everything he could tell you. He's in his 90s. He could tell you everything. And he was always pleasant to listen to. Um, when you went to a care home, you didn't see a lot of people in the building. You got a coffee mornings when you got down, you know? And so he's got more commonly where he is for each of missiles. He misses his family because they all live north and. To me, I couldn't live like that. You know, so,",0.22327839,0.7286489,0.00016359036,6.575409e-05,0.0034289653,0.044414435
14,"Well, this picture?",0.070965424,0.11720367,0.006335451,0.0017415163,0.05401484,0.7497391
15,"daily activities, yes, it is",0.07246522,0.22175466,0.43886682,0.15231624,0.06533259,0.04926448
16,"Get in and out of bed. Well,  just living. It's not an activity, it's just existing. In fact, it's very sensitive to me at the moment because I'm fighting for some way of being able in and out of bed. And it's happening to have a sleep in the chair. And then because they can't find",0.0020414917,0.9972335,6.9051304e-05,8.345076e-06,8.817894e-05,0.00055939646
17,It's not even mobility is just some sort of equipment and means that I don't have to have a carer coming to put me in and out of bed. so if we are getting emotional it's a bit too ...,0.090344645,0.104430586,0.037528094,0.00015368778,0.74387205,0.023670953
18,"It's little things that concern me to some extent, I mean, for example, one thing that concerns me is actually having a show of. Now, at the moment, with great difficulty, I might add, I can actually stand up in my best, but it's not easy to actually cross your leg over wow and stand up, but the council have put handrails, so you know, OK, hang on to them and I really appreciate that because without them, there's no way I could get into the best and little things like that I really appreciate. And I just wouldn't like to smell too much.",0.9462904,0.029997109,0.0011004689,1.3853189e-07,0.005041854,0.017570063
19,"Yeah, I have a wheelchair. Yeah, which looks like the standard of the big wheel. Yeah, I have that in my shower room, so I transfer from one wheelchair to another looking out in the shower. I don't like it I would prefer to stand up. I've got bad shoulders and from trying to get the showering 100, you know, and you don't feel like you clean yourself as a proper boy but it is better than a bath. When I lost my leg, I was given one of the chairs a rise and fall from Millbrook. And that was great because then I could just raise myself up turn around the chair and put my feet down. That was from the bath. So I don't know if you've got one of them.",0.010820834,0.86334264,1.815997e-05,4.4898673e-07,0.00042763405,0.12539029
20,I've got an ordinary bath,0.04507599,0.24518858,0.046641573,0.010594243,0.27353677,0.37896284
21,ride to call when you put it in your bath.,0.25761446,0.34173542,0.175156,0.013157188,0.11244386,0.09989306
22,"Oh no, I got nothing in the bath except the best mate drive",0.15303649,0.7117418,0.010444112,0.009874058,0.074005805,0.040897723
23,"Yeah, I didn't know they existed till I got one. Yeah. And I thought. And anybody struggling to get in and out of a bath of bullying about slipping falling in the bath. I mean, say we really, for me, a period in my confidence that started off with a bench going across the bath and I nearly went headfirst into the touch. And so I was at seven. Not we're not going to forget, you know,",0.11558957,0.72497606,0.07889202,3.861241e-06,0.019682437,0.060856033
24,"that period of time where we moved when I moved to now. Most of us got wet rooms. I think there's only one fly out the 34. It's got a bath. And their ideal for us, even if you only want a walking yeah, like I say, I was given that wheel chair just sat on that and it is quite comfy cushions say, you know, it's great.",0.003536909,0.9960496,3.140495e-05,8.09193e-06,1.904751e-06,0.0003720785
25,Not for me?,0.25220934,0.38586938,0.0291993,0.0071460293,0.055378046,0.27019793
26,"Yeah, that that bothers me because I have neuropathy means so don't feel heat straight away. Um, when I moved back in, I'm now four years ago, I was in a wheelchair. I'm in my bedroom. Very rarely wore it. Don't do this impression, but the important hello worked for me. I didn't have open air fryer and a small hub that was great while I was in the chair that was worried about leaning forward, bending down to get to the Oven. And even now I can bend down. Sometimes I can lose me balance, so it didn't bother me. And I think as I got older, personally that does concern me. You know, I've I lost me there like that. Be it, then I wouldn't be cooking takeaways. Yeah.",0.34422842,0.6206443,4.5675876e-07,6.78899e-08,0.002406188,0.032720614
27,I like talking!,0.62017834,0.16224965,0.003966273,0.0068055214,0.04406272,0.16273749
28,"Yeah, well, not at the moment, but stairs, perhaps at some point in the future.",0.16666076,0.2690434,0.27455893,0.049171373,0.084744774,0.15582076
29,"Yes. Well, also outside the house is two dozen stairs up from the road to the house, so maybe I'll have to move at some point.",0.11699008,0.109345205,0.7357045,0.0008733461,0.021942493,0.0151443705
30,"Oh, there will be no look area,.",0.34001103,0.54214454,0.020282537,0.0011438217,0.06786848,0.028549604
31,"Transport is probably one chance for trying to get in and out because they can't use buses or taxis because I have difficulty trying to get into a door had trouble getting your car, you know? Yeah, and quite tall. Not quite as you bend, I've got back and hip problem. I can't kind of move properly. It's difficult with me. So is transport is a an issue.",0.42952576,0.22000171,0.006425325,0.015531303,2.2039354e-05,0.32849383
32,"I'm glad you mentioned that because transport will be the top of my list. And the reason being that as long as I can get on a bus and I can celebrate it in a bus stop, I can see my children and one lives in Launceston. One lives in Woodbridge and two and a half hours on the bus. But the only problem I've got with buses are and get on the bus at the moment and get off. But. I've got a hopefully I can manage without a wee until I get to Bodmin.",0.15457362,0.552892,0.0004678729,0.00055807474,0.025365595,0.26614282
33,pretty soon because it stops them enough above me for me to get out and have a pea that I've got to tell you this too.,0.71745414,0.1447879,0.0042637303,0.0010449139,0.041857727,0.09059162
34,"Yeah, yeah, no. I'm sure I could go all the way to Bodmin to do a wee, awfull.",0.4559903,0.33549717,0.07641774,0.008760931,0.090822935,0.03251091
35,"Yeah, I've already mentioned we're right. Yeah. You know, I've been since, you know, legally here.",0.58532995,0.2524074,0.07221986,0.0032604905,0.053599782,0.033182487
36,"It's no, definitely not. But um. I think it's a good way of being in contact with people in families. I know it's nice to be together, but with everything we've gone through, you know, on Zoom or other social media, you can be your messenger through Facebook and it is good you can see your family talking to, you know, um,",0.309971,0.67470115,0.00014293232,0.00047743125,0.00011712125,0.01459037
37,"without it through your lockdown, you wouldn't have seen anybody that didn't have no children with anybody who didn't have that. You're isolated you",0.35266638,0.63780934,0.0012632436,1.8680535e-07,0.0003592945,0.007901577
38,"thinking, Oh yeah.",0.08970847,0.2681666,0.046911065,0.0033334903,0.05258342,0.539297
39,"I mean, I think the said, I know it's unusual that the pandemic will take the effect on mental health as being. Of jobs,",0.1081187,0.35852396,0.15481058,0.05443668,0.043009356,0.28110075
40,"I struggle with it when I thought I had to isolate, because that meant taking early last year was to say isolate for 14 days. I struggled to quell my scooter to try to avoid everybody. Well, no shops open in town show free travel around there, but it can get scary as well. And I think I'm more scared now than it was last year, and I think it's because of the understanding of it about both the Jabs obsessive test yourself twice a week. But we have a great community where we live. We're lucky, we're very lucky, and we all realise that, um, we had nobody had the infection or anything like that, you know, the virus. So and we do sit downstairs. I'm not in the community when we weren't allowed to use that, but it's still sitting in the main entrance. You know, I don't",0.18937458,0.16686164,0.046619166,0.0652404,0.27568823,0.256216
41,"do or out in the courtyard, you know, so we had the communication wasn't too bad for us. But if you look what your own in your own house and I think you're more isolated than I think communication right through technology is in really, you know.",0.2874884,0.42295718,0.077697,4.411071e-05,0.18951964,0.022293665
42,"When some people can't drive a car, that's how you do notoriety before then. Once you try to ?  During lockdown I was stuck for two years. Yes. We just live in a bedroom and that's it is a shared house for four people. And I wouldn't go see it.",0.0750006,0.92021096,0.0001343237,5.4677958e-08,0.00059048965,0.0040635946
43,"And I just don't think even though we've got a community, we do face to face just in our reality now. You know, while they are still things like, do they really, I don't know what we would have done 40 years ago. I really don't, you know, so",0.95185363,0.035760697,0.00022995185,8.214251e-07,3.160204e-06,0.0121517265
44,"You know, I was very, very lucky at the very beginning. I had a heart bypass and my daughter took me up to Kent to stay with her. Unfortunately, not going to school. I was there, so she got stuck with me for three weeks, unfortunately. And you know, any excuse because they brought me back in time or had my first job in Kent and they brought me back to have a second one here. Uh huh.. I must be horrible. Well, it doesn't bother me. I mean, where I live, we don't have a community centre. We don't have anywhere we can go and talk. So I was in the courtroom every day, but I just didn't",0.09554142,0.300791,0.030394563,3.918709e-05,0.0009294679,0.57230437
