,Tweet,Anger,Depression,Fatigue,Vigour,Tension,Confusion
0,"Would you want to go into the, you know, bottom line, you wanted that you want to live on your place and do things in your own time?",0.66246384,0.29966903,0.0008830526,0.002965302,0.019475741,0.014543041
1,It drives them nuts within a week.,0.18242007,0.18923372,0.060409866,0.009082802,0.5189177,0.039935872
2,Freedom.,0.16181606,0.49409953,0.051881753,0.023786474,0.048471216,0.21994498
3,"Yeah, freedom.",0.2587049,0.4013061,0.11495002,0.03909799,0.01941688,0.16652411
4,"Yeah, yeah. You guys have got memories. I mean, looking at a piece of furniture remembering. As a partner, we used to sit in that chair for example. But when you go into these homes, I don't think you're able to take very much with you at all apart from your clothes. All right. That's my understanding. I think",0.5204045,0.016496504,3.7716007e-05,7.1796805e-08,1.4397256e-05,0.4630468
5,"Well, this picture?",0.070965424,0.11720367,0.006335451,0.0017415163,0.05401484,0.7497391
6,"Get in and out of bed. Well,  just living. It's not an activity, it's just existing. In fact, it's very sensitive to me at the moment because I'm fighting for some way of being able in and out of bed. And it's happening to have a sleep in the chair. And then because they can't find",0.0020414917,0.9972335,6.9051304e-05,8.345076e-06,8.817894e-05,0.00055939646
7,It's not even mobility is just some sort of equipment and means that I don't have to have a carer coming to put me in and out of bed. so if we are getting emotional it's a bit too ...,0.090344645,0.104430586,0.037528094,0.00015368778,0.74387205,0.023670953
8,"Yeah, well, not at the moment, but stairs, perhaps at some point in the future.",0.16666076,0.2690434,0.27455893,0.049171373,0.084744774,0.15582076
9,"Yes. Well, also outside the house is two dozen stairs up from the road to the house, so maybe I'll have to move at some point.",0.11699008,0.109345205,0.7357045,0.0008733461,0.021942493,0.0151443705
10,"Yeah, yeah, no. I'm sure I could go all the way to Bodmin to do a wee, awfull.",0.4559903,0.33549717,0.07641774,0.008760931,0.090822935,0.03251091
11,"without it through your lockdown, you wouldn't have seen anybody that didn't have no children with anybody who didn't have that. You're isolated you",0.35266638,0.63780934,0.0012632436,1.8680535e-07,0.0003592945,0.007901577
12,"I mean, I think the said, I know it's unusual that the pandemic will take the effect on mental health as being. Of jobs,",0.1081187,0.35852396,0.15481058,0.05443668,0.043009356,0.28110075
13,"You know, I was very, very lucky at the very beginning. I had a heart bypass and my daughter took me up to Kent to stay with her. Unfortunately, not going to school. I was there, so she got stuck with me for three weeks, unfortunately. And you know, any excuse because they brought me back in time or had my first job in Kent and they brought me back to have a second one here. Uh huh.. I must be horrible. Well, it doesn't bother me. I mean, where I live, we don't have a community centre. We don't have anywhere we can go and talk. So I was in the courtroom every day, but I just didn't",0.09554142,0.300791,0.030394563,3.918709e-05,0.0009294679,0.57230437
14,"day. Yeah. Well, I'm lucky I live on the Hoe. Oh, so I've only I've only got to walk five minutes. I'm actually on the Hoe a life long live every day for a little walk and talk again. I mean, I used to see some of the neighbours, but. You know, we didn't mix.",0.37957013,0.5599554,0.0009878975,3.479386e-05,0.000979946,0.0584718
15,"is the ones that couldn't get out in the community. I mean, there's the bungalows and we could see if we couldn't meet up with them and it was fun to see people there was certain neighbours that we had couldn't leave home. I don't blame them. And it could be that. And I love the interaction of people. But without Zoom and teams and all that, I well, I would recommend. Definitely. I mean, I wouldn't have been able to see my family without the internet.",0.05762963,0.9414798,0.00021524086,7.2705326e-08,0.0005758815,9.9393714e-05
16,I haven't got the internet or and I don't use the computer now just it doesn't bother me from the get go and don't bother me when I have to contact firms and they,0.54620534,0.329681,0.0024692626,9.525902e-08,0.09415058,0.027493717
17,"or doctors. Doctors, now that they are nightmares now because I'm trying to get hold on to an e-consult and if you're not on the internet now, for your prescriptions and contacting doctors. That is huge!",0.8156201,0.14666322,0.0006973877,1.2345451e-05,0.032610837,0.004396065
18,"yeah. Well, there again, I'm very lucky because when I want my prescription, I'll just bring up a little chemist in West Hoe and they they just routinely get it and they deliver it to me.",0.9817238,0.016336095,5.405709e-06,6.6283947e-06,1.5186349e-06,0.0019265821
19,I hope they are not going to stopping that.,0.5327786,0.25794467,0.028831447,0.0007758897,0.13313814,0.046531215
20,"Yeah, I'm very lucky.",0.4947421,0.39082047,0.03639297,0.0024904325,0.041483033,0.034070984
21,How did you set that up?,0.10704625,0.06293164,0.0064993766,0.00080123934,0.019499348,0.8032221
22,My surgery will let you know what.,0.007885993,0.013834357,0.00025391293,2.8565722e-05,0.97260135,0.0053958427
23,And also this kind of forgotten health care.,0.046989616,0.44895163,0.008141854,0.009748074,0.009599453,0.47656935
24,"Well, how can they see what you look like? It's only telephone.",0.20187253,0.14810523,0.001125489,0.00012543547,0.0022479843,0.64652336
25,"Yeah, that's my issue.",0.68242186,0.2596092,0.003489504,0.0009867372,0.004563549,0.04892914
26,"Well, I was just thinking of touch wood how fortunate I am at the moment. I did have a partner who has a lot of difficulties that you seem to have. Yeah, you make a good point. Most of your doctors, but all sort of organisations I wanted to get in touch about my television license. And there's no number to ring them. Very annoying. And yet I've done so well.",0.004225594,0.94888866,5.3796607e-06,7.867991e-08,0.0013652741,0.04551502
27,"You know, I mean, I tried to ring with William, and I try to ring them the other day, and I didn't find a number, My grand daughter found it on the computer and I rang them. Oh, you've come to the wrong place, you should go for hero.",0.37529084,0.6220408,1.720873e-05,1.9063609e-07,0.0010159563,0.0016350196
28,"Yeah, yeah.",0.417088,0.30142623,0.14814939,0.003623236,0.026781384,0.10293176
29,"unless there is a  danger now if you were not switched on to the scam, they'll go and say, Oh, something with your back press one. As soon as you press one.",0.00044622185,0.9974604,5.4875614e-11,2.1318576e-06,9.206008e-05,0.0019991526
30,"And you do it automatically like the something with the police and comics, as you know in the show. Yeah. They will panic, you know, at the moment of screen time, and I don't think so. And. But I would think you'd be lucky, he said, just don't don't don't engage conversation with people. But people do! yeah, and they get caught and they lose an awful amount of money. There's people out there, though this is awful, awful evil creatures that know it. And again, just because everything is online or on the phone. That's how you get people's lives in danger for all this technology",0.016498005,0.98111403,7.193885e-06,8.608179e-08,0.00024105393,0.002139616
31,"A little bit of back, some decent television.",0.110091396,0.7752848,0.036149237,0.0025538325,0.01533744,0.06058328
32,So it is both,0.0859225,0.22070247,0.0238491,0.02675189,0.030044733,0.6127293
33,"Well, the way I've been thinking. I'm sorry and everything things down because I'm so used to doing it. It seems to be self-care, social interaction, and I guess it's not so magical. So it's self-care. And that breaks up into all sorts of activities, social interaction and medical and financial. Accessing those.",0.13861321,0.53711486,0.0071428926,0.016783502,0.08616192,0.21418361
34,You're good.,0.29781768,0.48141187,0.017493818,0.008929567,0.055523288,0.13882378
35,"exactly what is it? See, I use 40 words but two would do. Yeah, yeah.",0.34955442,0.2766622,0.1965625,0.003929074,0.01644039,0.15685143
36,All the different activities tells us that it's totally those,0.12046398,0.11068153,0.11079939,0.005860259,0.092871174,0.55932367
37,"But this session don't, isn't it?",0.1318592,0.22832666,0.07318737,0.029375307,0.17848003,0.3587714
38,"with it, isn't it? Two things of the three important things is some of the things you want to do, but there's some things you have to do of those, those three, all the activities you have to do. You have to look after yourself. What was the middle name again?",0.6302719,0.00012737744,9.476279e-06,1.1466833e-07,1.5428376e-06,0.36958957
39,"So social, interactive. Yeah, your health and well-being is included in your social and stuff.",0.090089716,0.76158655,0.01416215,0.01822484,0.011753069,0.10418368
40,"Because there was no idea. OK. She's not confused. I'm lucky because all I do is to jump on the bus and go into town do some shopping there is this. I was used to thinking of reserves with that stuff. Yeah, yeah. Tuesdays I used to go for lunch at the church in Glenfield. That's yeah. Well, now I make myself go into water for a walk on the road or catch the bus in the town.",0.10548523,0.7636495,0.0046018064,9.83558e-07,0.07119907,0.05506341
41,"and it's important. Yeah, if you talk about what's in the three top important things it's important to and yeah, I think I just think you're good.",0.5876261,0.1550129,0.00024310403,0.0016294864,0.00723124,0.24825716
42,"Um, with transport going on that, yeah, I'm limited.",0.14462242,0.22939627,0.03625584,0.007544783,0.08110307,0.50107765
43,"Yeah, yeah. But I mean, I'm pretty nifty getting on and off both the load, the ramp and stuff. Yeah, crashed of the south on the bus that we gloss over that. But it would be here if it's not on the bus route. There's only a certain type of taxi. I can have a map, but you probably yeah, it comes back to transport. It is huge.",0.15171273,0.7917372,0.00070168206,7.753883e-05,0.003152546,0.052618306
44,"way they can let you know I'll meet someone who's I've been down to the Did you come from home? Yeah, I'm going",0.15322123,0.3985795,0.0129561275,0.0002151341,0.061418302,0.3736097
45,"to say this about the guide dogs. All that because the guide dogs go by what they can hear. Yeah, yeah. So it's really massive. Yeah, yeah, yeah.",0.18207568,0.75920236,4.3304724e-05,0.001419085,8.619284e-06,0.057250924
46,It's not been introduced.,0.26166582,0.25282893,0.016192557,0.0008472464,0.09558672,0.37287876
47,"No, I know",0.20717423,0.37546438,0.016172232,0.00951345,0.017891558,0.37378415
48,what it's,0.11540482,0.16579573,0.012959711,0.009807239,0.031484548,0.6645479
49,"like coming otherwise three three years in this place. But in the Pines University here, 50 years ago, it's never, never",0.38439876,0.3764131,0.005201882,0.0020407964,0.048621226,0.18332422
50,"been a polytechnic. Yes. Yeah, I think so. She's very down. That's all you need to know. Oh, yeah, yeah.",0.31383595,0.4562447,0.08024249,0.004829048,0.06679443,0.07805337
51,"Oh yes, totally.",0.57228214,0.26795837,0.08025231,0.0013939264,0.037737463,0.0403758
52,"Well, I think everyone was horrified.",0.18065059,0.49164498,0.009589208,0.00047002945,0.04116473,0.27648044
53,We were worried about what's coming out of the Blue Submarine.,0.055225186,0.44038537,0.010275155,0.031048799,0.36393988,0.0991256
54,"of these cars. Driverless cars? Yeah. But you know, there's not a lot goes wrong with the mechanics of the computer. Who do you blame in? And I think both someone killed recently.",0.06954524,0.88588953,7.10162e-07,1.8862607e-09,2.210261e-05,0.04454241
55,"Yeah, that was yes. Yeah, yeah. Oh yeah. Yeah, yeah. I wouldn't know. Did frighten me. Right? The Wi-Fi goes down. You go, Okay,.",0.5105783,0.2264824,0.026412083,0.0015044265,0.037353758,0.19766904
56,How did you get on doing that? Because they tried me with it?,0.13874921,0.0895728,0.005071084,0.0007181168,0.0047769537,0.76111186
57,I wrote off the gearbox.,0.17706649,0.49201465,0.1713577,0.006258716,0.087896526,0.06540592
58,"Well, what they did with me because I can drive by right next. I can swap to. So the process was 19. Yeah. And occasionally the automatic. What do you do? I panicked because it took me straight out into the main road which I did think it was stupid. Yeah. And so I was I was I was nervous, so it didn't make any sense. What don't you do with an automatic car?",0.800799,0.004504383,0.13694727,1.9723516e-06,0.018133424,0.03961391
59,"Yeah, I've done my right leg suddenly burst into life, I suppose.",0.2310603,0.3567439,0.12503079,0.0014356371,0.02785284,0.25787655
60,"Into face to face, so to drive. But yeah,",0.11374533,0.35237616,0.13443606,0.001590694,0.12770827,0.27014348
61,"I can't drive now, it's one of the drive and you just really. Quite dangerous. Yeah, yeah, yeah. I am not supposed to drive anyway.",0.37543184,0.41755223,0.01667039,0.0046546278,0.08816676,0.097524166
62,People are supposed to deliver houses and so they don't do well.,0.57476133,0.2086927,0.0044947807,0.00039586544,0.015280308,0.196375
63,"Well, what about this is the percentage of buildings with these thermal cups? Yeah, you can get some of them is what we're trying to do is say thank you can how even though the sort of thing and bring your own drink, you know how it's going to work because honestly, I'm just like, I just manage, yeah. And if I go to shows and stuff, oh, well, we're going to try and find to have those cardboard trays thinking about it so we can help people.",0.0024922346,0.9924971,2.5821205e-06,5.590582e-08,0.0040195384,0.0009885291
64,"Oh, have you?",0.37723207,0.33362317,0.019738553,0.0052015246,0.068063885,0.19614078
65,"I think I have made my kitchen was not there. So I think that the wheelchair in the house is one thing. But if you will, in the future, going to have to have mobility equipment like I have a walker as well a space around and that you the units and of that can be dropped if you like can be lowered and which might have been so I can sit in the wheelchair does under certain types of kitchen things that my oven I can't have one with the dropped down door , it's not safe for me, but I have one of those those sliding they are brilliant. So that's socially but not so you can just explain it is cheap, and.",0.18341132,0.13584708,0.00021767247,0.00029840332,0.0013300957,0.6788954
66,"Have you ever seen bake off the bake off it, right? What they do, but be put an oven door down what it does disappears underneath it slides underneath.Yeah, because I can't have anything in front of me. I've got to be able to be right in front of the oven book because it slides on. I think it's called Hide and Slide or something like that.",0.8655424,0.035157453,0.0013601285,0.00015073632,0.00084734656,0.096941926
67,"And it's it's excellent for that unless you hang on to it. If you try to move on, it goes and slides and, you know, expect it will go on the issue. But the other thing is, what about that? But it's it's brilliant for that because I can go in front and in the wheelchair, sometimes not too heavy. I go to the side. So the kitchen equipment, I think, and otherwise I wouldn't use the oven. It's as simple as that and it's got to be easily accessible.",0.06756,0.57837224,0.0008712267,0.002304321,7.4627605e-05,0.35081756
68,"If you look in technology and internet stuff it's kind of sounds awful generations come and go as they age, they will be brought up with this man. It's the wall of the rest of us. So the older ones now generation today, the generation that the older generation that I'm no longer the older again generation, maybe that has never used the internet and are still frightened of it, but that will adapto us, yeah, but as the years go on. Sounds awful. As the new generations come up they will, they will embrace all of this. And which we maybe not",0.332497,0.5371311,0.002002339,6.2708255e-06,0.009420612,0.1189427
