,Tweet,Anger,Depression,Fatigue,Vigour,Tension,Confusion
0,But my thoughts were to learn about technology now learning more about technology.,0.11100777,0.16854082,0.003084449,0.0005578282,0.017264126,0.69954497
1,"Um,. I'm not crazy technology, computers, even phones. I use my phone as a computer. I've got a laptop and a tablet about the use of make things right. So, um, that was it, really. And then I thought, Well, we'll learn something today.",0.8360827,0.05217726,0.0011920847,6.3763687e-06,0.082453534,0.028088069
2,Yeah.,0.31475717,0.4047367,0.081647985,0.0077855387,0.029910328,0.16116227
3,"Very. And yeah, yeah.",0.33315718,0.36539665,0.11738115,0.010587804,0.06942079,0.10405644
4,"It's about different disabilities in one way or another. Looking at the less on the forms so that was 50 percent of where we live. People has got different disabilities. Some people we see struggle and when I became disabled I thought, well, I could get worse as I got older and yeah, I want to be able to stay at home. You know, I don't want to be living in fear of people who live after me, or not being able to do things for yourself. And I think we all feel like that, you know?",0.0034501832,0.9955731,1.4307396e-07,5.5194917e-08,8.050357e-05,0.000896014
5,"So that's the reason I came. I love my home. Yeah, I love where I live with my home is, and I came here in the hope that I can learn to stay there as long as I can. And I'd hate to be in a residential care home, for example. It just would not be my scene.",0.024617787,0.0003148154,0.34790018,0.52108777,0.101890996,0.0041884473
6,I managed to be.,0.18250768,0.17960466,0.11499665,0.10990893,0.020660594,0.39232147
7,My memories of being one's own boss. Yeah.,0.032222636,0.7124406,0.031300068,0.005865179,0.017949896,0.2002216
8,"it's that you thought correctly correct? You remember, Bill? Yeah, he's in a care home and he is happy enough. But he's he doesn't see anybody. How come the people in and he was running a video of where we live? He was the light of everybody's life in the, you know, he knew everything about the Barbican and everything he could tell you. He's in his 90s. He could tell you everything. And he was always pleasant to listen to. Um, when you went to a care home, you didn't see a lot of people in the building. You got a coffee mornings when you got down, you know? And so he's got more commonly where he is for each of missiles. He misses his family because they all live north and. To me, I couldn't live like that. You know, so,",0.22327839,0.7286489,0.00016359036,6.575409e-05,0.0034289653,0.044414435
9,"daily activities, yes, it is",0.07246522,0.22175466,0.43886682,0.15231624,0.06533259,0.04926448
10,"It's little things that concern me to some extent, I mean, for example, one thing that concerns me is actually having a show of. Now, at the moment, with great difficulty, I might add, I can actually stand up in my best, but it's not easy to actually cross your leg over wow and stand up, but the council have put handrails, so you know, OK, hang on to them and I really appreciate that because without them, there's no way I could get into the best and little things like that I really appreciate. And I just wouldn't like to smell too much.",0.9462904,0.029997109,0.0011004689,1.3853189e-07,0.005041854,0.017570063
11,"Yeah, I have a wheelchair. Yeah, which looks like the standard of the big wheel. Yeah, I have that in my shower room, so I transfer from one wheelchair to another looking out in the shower. I don't like it I would prefer to stand up. I've got bad shoulders and from trying to get the showering 100, you know, and you don't feel like you clean yourself as a proper boy but it is better than a bath. When I lost my leg, I was given one of the chairs a rise and fall from Millbrook. And that was great because then I could just raise myself up turn around the chair and put my feet down. That was from the bath. So I don't know if you've got one of them.",0.010820834,0.86334264,1.815997e-05,4.4898673e-07,0.00042763405,0.12539029
12,I've got an ordinary bath,0.04507599,0.24518858,0.046641573,0.010594243,0.27353677,0.37896284
13,ride to call when you put it in your bath.,0.25761446,0.34173542,0.175156,0.013157188,0.11244386,0.09989306
14,"Oh no, I got nothing in the bath except the best mate drive",0.15303649,0.7117418,0.010444112,0.009874058,0.074005805,0.040897723
15,"Yeah, I didn't know they existed till I got one. Yeah. And I thought. And anybody struggling to get in and out of a bath of bullying about slipping falling in the bath. I mean, say we really, for me, a period in my confidence that started off with a bench going across the bath and I nearly went headfirst into the touch. And so I was at seven. Not we're not going to forget, you know,",0.11558957,0.72497606,0.07889202,3.861241e-06,0.019682437,0.060856033
16,"that period of time where we moved when I moved to now. Most of us got wet rooms. I think there's only one fly out the 34. It's got a bath. And their ideal for us, even if you only want a walking yeah, like I say, I was given that wheel chair just sat on that and it is quite comfy cushions say, you know, it's great.",0.003536909,0.9960496,3.140495e-05,8.09193e-06,1.904751e-06,0.0003720785
17,Not for me?,0.25220934,0.38586938,0.0291993,0.0071460293,0.055378046,0.27019793
18,"Yeah, that that bothers me because I have neuropathy means so don't feel heat straight away. Um, when I moved back in, I'm now four years ago, I was in a wheelchair. I'm in my bedroom. Very rarely wore it. Don't do this impression, but the important hello worked for me. I didn't have open air fryer and a small hub that was great while I was in the chair that was worried about leaning forward, bending down to get to the Oven. And even now I can bend down. Sometimes I can lose me balance, so it didn't bother me. And I think as I got older, personally that does concern me. You know, I've I lost me there like that. Be it, then I wouldn't be cooking takeaways. Yeah.",0.34422842,0.6206443,4.5675876e-07,6.78899e-08,0.002406188,0.032720614
19,I like talking!,0.62017834,0.16224965,0.003966273,0.0068055214,0.04406272,0.16273749
20,"Oh, there will be no look area,.",0.3400106,0.5421449,0.020282513,0.0011438247,0.06786852,0.028549623
21,"Transport is probably one chance for trying to get in and out because they can't use buses or taxis because I have difficulty trying to get into a door had trouble getting your car, you know? Yeah, and quite tall. Not quite as you bend, I've got back and hip problem. I can't kind of move properly. It's difficult with me. So is transport is a an issue.",0.42952457,0.22000195,0.0064253192,0.015531319,2.2039378e-05,0.3284948
22,"I'm glad you mentioned that because transport will be the top of my list. And the reason being that as long as I can get on a bus and I can celebrate it in a bus stop, I can see my children and one lives in Launceston. One lives in Woodbridge and two and a half hours on the bus. But the only problem I've got with buses are and get on the bus at the moment and get off. But. I've got a hopefully I can manage without a wee until I get to Bodmin.",0.15457362,0.552892,0.0004678729,0.00055807474,0.025365595,0.26614282
23,pretty soon because it stops them enough above me for me to get out and have a pea that I've got to tell you this too.,0.71745414,0.1447879,0.0042637303,0.0010449139,0.041857727,0.09059162
24,"Yeah, I've already mentioned we're right. Yeah. You know, I've been since, you know, legally here.",0.58532995,0.2524074,0.07221986,0.0032604905,0.053599782,0.033182487
25,"It's no, definitely not. But um. I think it's a good way of being in contact with people in families. I know it's nice to be together, but with everything we've gone through, you know, on Zoom or other social media, you can be your messenger through Facebook and it is good you can see your family talking to, you know, um,",0.309971,0.67470115,0.00014293232,0.00047743125,0.00011712125,0.01459037
26,"thinking, Oh yeah.",0.08970847,0.2681666,0.046911065,0.0033334903,0.05258342,0.539297
27,"I struggle with it when I thought I had to isolate, because that meant taking early last year was to say isolate for 14 days. I struggled to quell my scooter to try to avoid everybody. Well, no shops open in town show free travel around there, but it can get scary as well. And I think I'm more scared now than it was last year, and I think it's because of the understanding of it about both the Jabs obsessive test yourself twice a week. But we have a great community where we live. We're lucky, we're very lucky, and we all realise that, um, we had nobody had the infection or anything like that, you know, the virus. So and we do sit downstairs. I'm not in the community when we weren't allowed to use that, but it's still sitting in the main entrance. You know, I don't",0.18937458,0.16686164,0.046619166,0.0652404,0.27568823,0.256216
28,"do or out in the courtyard, you know, so we had the communication wasn't too bad for us. But if you look what your own in your own house and I think you're more isolated than I think communication right through technology is in really, you know.",0.2874884,0.42295718,0.077697,4.411071e-05,0.18951964,0.022293665
29,"When some people can't drive a car, that's how you do notoriety before then. Once you try to ?  During lockdown I was stuck for two years. Yes. We just live in a bedroom and that's it is a shared house for four people. And I wouldn't go see it.",0.0750006,0.92021096,0.0001343237,5.4677958e-08,0.00059048965,0.0040635946
30,"And I just don't think even though we've got a community, we do face to face just in our reality now. You know, while they are still things like, do they really, I don't know what we would have done 40 years ago. I really don't, you know, so",0.95185363,0.035760697,0.00022995227,8.214251e-07,3.160204e-06,0.012151715
31,"They've been very good press so of. I mean, I'm not with them, but some the our residents are yeah. And you know, I mean, that struggle. I don't even have to pay for my prescriptions. I got a text message from Boots's chemist because of pain and your prescription is ready for collection and closes the book. The booth came back only 10 minutes, you know? Yeah. So our customer, so we've been lucky like that.",0.11158978,5.139036e-05,0.06546737,0.0018554563,0.80558777,0.015448231
32,"But I was with Lloyds in Devonport. Then when I moved, I told my doctor that my prescription is going to Boots. And at the start, I had to keep ringing up, ringing up, getting prescriptions that over now Boots supply for it, for me.",0.3778804,0.15566948,0.0068961303,2.1797543e-06,0.0019649137,0.4575869
33,"We won't now go back four years ago. You know, these are driving where we have all agreed for, you know what I need from when they need it. So, OK, OK.",0.5088411,0.13223828,0.011939711,0.32846078,0.0010350933,0.017485019
34,"I forgot how my Doctor looks like,.",0.37871942,0.39776835,0.05754317,0.00033469216,0.045436166,0.120198205
35,"and you know, especially with the chest problem, and it's a bit of a telephone consultation. And when I say it's a consultation, a conversation because you will only be hearing huh huh down the phone ...",0.6203595,0.35720763,0.0008803688,0.00019586274,0.0017659095,0.01959074
36,from the phone down and you prevent even breathe.,0.28324583,0.6019657,0.016477391,0.0012149544,0.04722331,0.049872804
37,"Yeah, I do get annoyed, really, don't you all?",0.8625474,0.069557756,0.0023023372,0.0014969539,0.002411131,0.06168444
38,"Yeah, it is very hard for trying to communicate concretely for people. And I think that's where you get fed up. And I think some people just give up to try to communicate with them. The next thing to get electricity, to know why you're doing this, why are you doing that? And again, people get put under pressure. Well, you know, it's it's horrible. Yeah, it's I'm quite fortunate I do get your scam calls, you know, text messages from my provider BT. And if I'm not sure I ring BT up, you know, saggy pants and stuff like that, you know so well, a lot of people don't know how to do all lot, you know?",0.08132012,0.91403776,1.0226333e-06,3.7038265e-06,0.00015169439,0.0044857077
39,"I read about after quite a lot of our residents doing jobs for them and things like that. It's something in my nature. I would reward myself and I used to work for, Yeah, and I still do it now. You know, that's what keeps me going mentally. You know, without all that I don't know, I'll be there enough income of our party, you know?",0.75394213,0.14346568,0.0010872136,0.00068244035,3.0253186e-05,0.10079229
40,"Yeah, that's it. Yeah.",0.6494477,0.24150111,0.03310896,0.0032226334,0.012937617,0.059781987
41,"to do something very plausible, the people very and I sometimes tell our residents like I've had this scam call, if you get a scam call or they're asking you to BT again, we say my payment last month hasn't gone through and they take my details. Well, I've checked my bank statement. I know that it was paid, so I didn't have to do anything else. I just blocked the numbers. But they come back with different numbers",0.00014423396,0.9866454,0.0077633318,0.0032605596,0.0017113128,0.00047513918
42,oh they did,0.12660556,0.5801206,0.046088703,0.0066234916,0.10871003,0.13185161
