,Unnamed: 0,Name,Gender,Time,Text
0,0,Speaker 1,M,00:00:40,thoughts to learn technology learning technology
1,1,Speaker 2,M,00:00:50,crazy technology computers phones phone computer laptop tablet of make things thought learn today
2,2,Speaker 2,M,00:01:21,
3,3,Speaker 1,M,00:02:04,
4,4,Speaker 3,F,00:02:13,to bottom line wanted to live on place things in time
5,5,Speaker 2,M,00:02:31,disabilities in at on forms 50 percent of live people disabilities people struggle disabled thought worse older to to stay at home to living in fear of people live to things for feel
6,6,Speaker 4,M,00:03:10,reason love home love live with home in hope learn to stay long hate to in residential care home for scene
7,7,Speaker 4,M,00:03:36,managed to
8,8,Speaker 3,F,00:03:40,drives nuts week
9,9,Speaker 3,F,00:04:02,freedom
10,10,Speaker 3,F,00:04:03,freedom
11,11,Speaker 2,M,00:04:04,memories of boss
12,12,Speaker 5,F,00:04:09,guys memories at piece of furniture remembering partner to sit in chair for homes to with at from clothes understanding
13,13,Speaker 2,M,00:04:29,thought correctly correct remember bill in care home happy people in running video of live light of life in knew barbican in 90s pleasant to listen to to care home lot of people in building coffee mornings commonly for of missiles misses family live north to live
14,14,Speaker 3,F,00:08:07,picture
15,15,Speaker 2,M,00:08:16,daily activities
16,16,Speaker 3,F,00:08:37,in of bed living activity existing in fact sensitive to at moment fighting for of in of bed happening to sleep in chair find
17,17,Speaker 3,F,00:09:05,mobility sort of equipment means to carer coming to put in of bed emotional bit too
18,18,Speaker 4,M,00:09:28,things concern to extent for thing concerns show of at moment with great difficulty add stand in easy to cross leg wow stand council put handrails hang on to things to smell too
19,19,Speaker 2,M,00:10:19,wheelchair standard of big wheel in shower room transfer from wheelchair to in shower prefer to stand bad shoulders from to showering 100 feel clean proper boy bath lost leg of chairs rise fall from millbrook great raise turn chair put feet from bath of
20,20,Speaker 4,M,00:11:08,ordinary bath
21,21,Speaker 2,M,00:11:10,ride to call put in bath
22,22,Speaker 4,M,00:11:13,in bath mate drive
23,23,Speaker 2,M,00:11:29,existed till thought struggling to in of bath of bullying slipping falling in bath for period in confidence started off with bench bath headfirst touch at to forget
24,24,Speaker 2,M,00:11:59,period of time moved moved to of wet rooms fly 34 bath ideal for walking wheel chair sat on comfy cushions great
25,25,Speaker 2,M,00:12:47,for
26,26,Speaker 2,M,00:13:01,bothers neuropathy means feel heat straight moved back in years ago in wheelchair in bedroom rarely wore impression important worked for open air fryer small hub great in chair worried leaning forward bending to to oven bend lose balance bother older personally concern lost cooking takeaways
27,27,Speaker 2,M,00:14:00,talking
28,28,Speaker 3,F,00:14:08,at moment stairs at point in future
29,29,Speaker 3,F,00:14:17,house dozen stairs from road to house to move at point
30,30,Speaker 2,M,00:14:27,area
31,31,Speaker 4,M,00:14:40,transport chance for to in buses taxis difficulty to door trouble car tall bend back hip problem kind of move properly difficult with transport issue
32,32,Speaker 1,M,00:15:06,glad mentioned transport top of list reason long on bus celebrate in bus stop children lives in launceston lives in woodbridge half hours on bus problem with buses on bus at moment off manage wee to bodmin
33,33,Speaker 1,M,00:15:40,pretty stops for to pea to too
34,34,Speaker 5,F,00:15:53,to bodmin to wee awfull
35,35,Speaker 2,M,00:16:19,mentioned legally
36,36,Speaker 2,M,00:16:30,good of in contact with people in families nice to with on zoom social media messenger facebook good family talking to
37,37,Speaker 3,F,00:17:00,lockdown children with isolated
38,38,Speaker 2,M,00:17:10,thinking
39,39,Speaker 3,F,00:17:12,unusual pandemic effect on mental health of jobs
40,40,Speaker 2,M,00:17:24,struggle with thought to isolate meant taking early year to isolate for 14 days struggled to quell scooter to to avoid shops open in town show free travel scary scared year of understanding of jabs obsessive test week great community live lucky lucky realise infection virus sit downstairs in community allowed to sitting in main entrance
41,41,Speaker 2,M,00:18:23,in courtyard communication too bad for in house isolated communication technology in
42,42,Speaker 1,M,00:18:43,people drive car notoriety to lockdown stuck for years live in bedroom shared house for people
43,43,Speaker 2,M,00:19:09,community face to face in reality things 40 years ago don
44,44,Speaker 3,F,00:20:04,lucky at beginning heart bypass daughter to kent to stay with to school stuck with for weeks excuse brought back in time job in kent brought back to uh huh horrible bother live community centre talk in courtroom day
45,45,Speaker 3,F,00:20:59,day lucky live on hoe to walk minutes on hoe life long live day for walk talk to of neighbours mix
46,46,Speaker 5,F,00:21:20,in community bungalows meet with fun to people neighbours leave home blame love interaction of people zoom teams recommend to family internet
47,47,Speaker 3,F,00:21:53,internet computer bother from bother to contact firms
48,48,Speaker 5,F,00:22:11,doctors doctors nightmares to hold on to consult on internet for prescriptions contacting doctors huge
49,49,Speaker 5,F,00:22:27,lucky prescription bring chemist in west hoe routinely deliver to
50,50,Speaker 3,F,00:22:41,hope to stopping
51,51,Speaker 5,F,00:22:43,lucky
52,52,Speaker 2,M,00:22:44,good press of with residents struggle to pay for prescriptions text message from boots chemist of pain prescription ready for collection closes book booth back 10 minutes customer lucky
53,53,Speaker 3,F,00:23:13,set
54,54,Speaker 2,M,00:23:16,with lloyds in devonport moved told doctor prescription to boots at start to ringing ringing prescriptions boots supply for for
55,55,Speaker 3,F,00:23:35,surgery
56,56,Speaker 2,M,00:23:38,back years ago driving agreed for from
57,57,Speaker 3,F,00:23:55,kind of forgotten health care
58,58,Speaker 2,M,00:24:00,forgot doctor
59,59,Speaker 3,F,00:24:03,telephone
60,60,Speaker 5,F,00:24:08,issue
61,61,Speaker 2,M,00:24:09,with chest problem bit of telephone consultation consultation conversation hearing huh huh phone
62,62,Speaker 2,M,00:24:23,from phone prevent breathe
63,63,Speaker 3,F,00:24:36,thinking of touch wood fortunate at moment partner lot of difficulties to make good point of doctors sort of organisations wanted to in touch television license number to ring annoying
64,64,Speaker 6,F,00:25:16,to ring with william to ring day find number grand daughter found on computer rang to wrong place for hero
65,65,Speaker 2,M,00:25:30,annoyed
66,66,Speaker 6,F,00:25:33,
67,67,Speaker 2,M,00:25:35,hard for to communicate concretely for people fed people give to to communicate with thing to electricity to people put pressure horrible fortunate scam calls text messages from provider bt ring bt saggy pants stuff lot of people to lot
68,68,Speaker 2,M,00:26:24,read lot of residents jobs for things in nature reward to work for mentally income of party
69,69,Speaker 5,F,00:27:10,danger switched on to scam with back press press
70,70,Speaker 2,M,00:27:22,
71,71,Speaker 5,F,00:27:23,automatically with police comics in show panic at moment of screen time lucky engage conversation with people people caught lose awful amount of money people awful awful evil creatures online on phone people lives in danger for technology
72,72,Speaker 2,M,00:28:07,to plausible people residents scam call scam call to bt payment month details checked bank statement paid to blocked numbers back with numbers
73,73,Speaker 2,M,00:28:37,
74,74,Speaker 2,M,00:28:38,ended stop to stop
75,75,Speaker 4,M,00:28:48,for big companies to
76,76,Speaker 2,M,00:29:10,agreed to place taichi monday afternoon start with lot of regulars drifted off with with big group group called barbican legends lot barbican coming in taichi good for
77,77,Speaker 2,M,00:29:41,great of to meet with people at moment to started
78,78,Speaker 2,M,00:30:01,for
79,79,Speaker 2,M,00:30:09,
80,80,Speaker 4,M,00:30:12,back spaces mentioned television licences from fact television important to elderly people confined to home 82 83 tv licence stop free week for message to renew television licence annoyed millions millions of people year licence important elderly people facility legally to watch television to sorted
81,81,Speaker 2,M,00:30:57,mine to renewed year automatically by people to
82,82,Speaker 4,M,00:31:06,mind paying expect people to expect people to pay
83,83,Speaker 6,F,00:31:11,bit of back decent television
84,84,Speaker 2,M,00:31:17,repeat programmes expect double bill for licence
85,85,Speaker 4,M,00:32:28,make comment on digital communication comment discussed zoom great deal 400 people on zoom sessions from world corners of world heard of
86,86,Speaker 4,M,00:32:50,
87,87,Speaker 4,M,00:32:57,for groups of member worldwide groups for church activities member digitally for communicating with children with portal magic machine make telephone calls by to television ring harry harry on television
88,88,Speaker 2,M,00:33:28,wondered for family
89,89,Speaker 4,M,00:33:32,keen on deeply eliminate social interaction person to person spot on bit of coward in back of head agree with
90,90,Speaker 3,F,00:34:04,
91,91,Speaker 2,M,00:34:07,pope on big tv screen state screen completely real bad luck
92,92,Speaker 4,M,00:34:19,of kids bought for christmas
93,93,Speaker 2,M,00:34:22,
94,94,Speaker 2,M,00:34:24,digital interaction communication important lot of people to for years scratching surface with people to wrong computed son work for education services on practical person
95,95,Speaker 6,F,00:35:41,thinking things to to care social interaction guess magical care breaks sorts of activities social interaction medical financial accessing
96,96,Speaker 5,F,00:36:11,good
97,97,Speaker 2,M,00:36:29,lot of people realise care important
98,98,Speaker 6,F,00:36:35,40 words
99,99,Speaker 3,F,00:36:41,activities tells totally
