,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation
0,But my thoughts were to learn about technology now learning more about technology.,0.09268677,0.0025736503,0.051613867,0.30187538,0.2902235,0.051035102,0.17933449,0.030657234
1,"Um,. I'm not crazy technology, computers, even phones. I use my phone as a computer. I've got a laptop and a tablet about the use of make things right. So, um, that was it, really. And then I thought, Well, we'll learn something today.",0.028196808,0.0052930084,0.019126946,0.020282311,0.004209369,0.37863418,0.4949041,0.049353275
2,Yeah.,0.0049883868,0.0050767465,0.009239294,0.4443047,0.032086007,0.32340598,0.17296685,0.007932046
3,"Very. And yeah, yeah.",0.023879992,0.007916094,0.04324931,0.39990833,0.041225176,0.24262358,0.21546346,0.025734054
4,"Would you want to go into the, you know, bottom line, you wanted that you want to live on your place and do things in your own time?",0.017906822,0.0045126583,0.018019957,0.010638013,0.015452001,0.0066096685,0.92609376,0.00076713756
5,"It's about different disabilities in one way or another. Looking at the less on the forms so that was 50 percent of where we live. People has got different disabilities. Some people we see struggle and when I became disabled I thought, well, I could get worse as I got older and yeah, I want to be able to stay at home. You know, I don't want to be living in fear of people who live after me, or not being able to do things for yourself. And I think we all feel like that, you know?",0.0008267982,9.670538e-06,0.94056064,0.0023497583,0.0001233337,1.3253615e-05,0.056110717,5.8486366e-06
6,"So that's the reason I came. I love my home. Yeah, I love where I live with my home is, and I came here in the hope that I can learn to stay there as long as I can. And I'd hate to be in a residential care home, for example. It just would not be my scene.",0.09949579,0.019921988,0.18819667,0.013148049,0.015128254,0.025708186,0.6265626,0.011838475
7,I managed to be.,0.033160742,0.0051705525,0.017709948,0.23135625,0.02478152,0.42244107,0.25539002,0.009989893
8,It drives them nuts within a week.,0.021165248,0.0022650457,0.0884885,0.32836753,0.028352203,0.10925366,0.2862241,0.13588372
9,Freedom.,0.019167744,0.0022810102,0.17105216,0.5174401,0.013908273,0.009559876,0.26466382,0.0019270101
10,"Yeah, freedom.",0.014077061,0.0026812553,0.05942273,0.7242988,0.01187215,0.03872717,0.14707884,0.0018420249
11,My memories of being one's own boss. Yeah.,0.0029281795,0.0005374066,0.051785238,0.7605267,0.107844874,0.01491227,0.05262628,0.008839056
12,"Yeah, yeah. You guys have got memories. I mean, looking at a piece of furniture remembering. As a partner, we used to sit in that chair for example. But when you go into these homes, I don't think you're able to take very much with you at all apart from your clothes. All right. That's my understanding. I think",0.20113254,0.0077723926,0.011953615,0.005366765,0.026744196,0.07097951,0.6718201,0.0042308797
13,"it's that you thought correctly correct? You remember, Bill? Yeah, he's in a care home and he is happy enough. But he's he doesn't see anybody. How come the people in and he was running a video of where we live? He was the light of everybody's life in the, you know, he knew everything about the Barbican and everything he could tell you. He's in his 90s. He could tell you everything. And he was always pleasant to listen to. Um, when you went to a care home, you didn't see a lot of people in the building. You got a coffee mornings when you got down, you know? And so he's got more commonly where he is for each of missiles. He misses his family because they all live north and. To me, I couldn't live like that. You know, so,",0.005311588,0.0038075792,0.041947942,0.011189476,0.22811553,0.03518291,0.66602993,0.008415048
14,"Well, this picture?",0.0029831997,0.0013345766,0.01474611,0.441409,0.017631304,0.4089626,0.07685727,0.03607593
15,"daily activities, yes, it is",0.011307578,0.0010090258,0.04449202,0.26346594,0.009672404,0.025852164,0.6399654,0.004235447
16,"Get in and out of bed. Well,  just living. It's not an activity, it's just existing. In fact, it's very sensitive to me at the moment because I'm fighting for some way of being able in and out of bed. And it's happening to have a sleep in the chair. And then because they can't find",0.007267178,0.0007005101,0.060581494,0.8794712,0.0063632717,0.0032875426,0.042068183,0.00026061918
17,It's not even mobility is just some sort of equipment and means that I don't have to have a carer coming to put me in and out of bed. so if we are getting emotional it's a bit too ...,0.090514116,0.036095083,0.23853953,0.4430185,0.13236855,0.013600522,0.030950924,0.014912791
18,"It's little things that concern me to some extent, I mean, for example, one thing that concerns me is actually having a show of. Now, at the moment, with great difficulty, I might add, I can actually stand up in my best, but it's not easy to actually cross your leg over wow and stand up, but the council have put handrails, so you know, OK, hang on to them and I really appreciate that because without them, there's no way I could get into the best and little things like that I really appreciate. And I just wouldn't like to smell too much.",0.15994026,0.0017943413,0.0650254,0.19585323,0.10653033,0.088780865,0.3568724,0.025203155
19,"Yeah, I have a wheelchair. Yeah, which looks like the standard of the big wheel. Yeah, I have that in my shower room, so I transfer from one wheelchair to another looking out in the shower. I don't like it I would prefer to stand up. I've got bad shoulders and from trying to get the showering 100, you know, and you don't feel like you clean yourself as a proper boy but it is better than a bath. When I lost my leg, I was given one of the chairs a rise and fall from Millbrook. And that was great because then I could just raise myself up turn around the chair and put my feet down. That was from the bath. So I don't know if you've got one of them.",0.010301416,0.0011426436,0.5399895,0.2761294,0.0069273757,0.024831941,0.1389373,0.0017404438
20,I've got an ordinary bath,0.003161513,0.0011253087,0.04037553,0.5097494,0.011753626,0.36771423,0.053404965,0.01271544
21,ride to call when you put it in your bath.,0.01735071,0.004549344,0.05331216,0.09842943,0.0070667006,0.5424023,0.24175382,0.03513554
22,"Oh no, I got nothing in the bath except the best mate drive",0.008871686,0.00258943,0.047223736,0.19990689,0.13409163,0.14730337,0.44174907,0.018264195
23,"Yeah, I didn't know they existed till I got one. Yeah. And I thought. And anybody struggling to get in and out of a bath of bullying about slipping falling in the bath. I mean, say we really, for me, a period in my confidence that started off with a bench going across the bath and I nearly went headfirst into the touch. And so I was at seven. Not we're not going to forget, you know,",0.015621206,0.0026805876,0.057777967,0.2295444,0.13650107,0.21746138,0.32309756,0.017315827
24,"that period of time where we moved when I moved to now. Most of us got wet rooms. I think there's only one fly out the 34. It's got a bath. And their ideal for us, even if you only want a walking yeah, like I say, I was given that wheel chair just sat on that and it is quite comfy cushions say, you know, it's great.",0.022676121,0.0004369524,0.02617747,0.14585924,0.0077753165,0.024112549,0.7722181,0.00074424
25,Not for me?,0.012080607,0.004776139,0.075851016,0.030295659,0.2072974,0.04391555,0.6134266,0.012357016
26,"Yeah, that that bothers me because I have neuropathy means so don't feel heat straight away. Um, when I moved back in, I'm now four years ago, I was in a wheelchair. I'm in my bedroom. Very rarely wore it. Don't do this impression, but the important hello worked for me. I didn't have open air fryer and a small hub that was great while I was in the chair that was worried about leaning forward, bending down to get to the Oven. And even now I can bend down. Sometimes I can lose me balance, so it didn't bother me. And I think as I got older, personally that does concern me. You know, I've I lost me there like that. Be it, then I wouldn't be cooking takeaways. Yeah.",0.12428178,0.012707496,0.08602879,0.09983707,0.038470067,0.15687707,0.47625527,0.005542473
27,I like talking!,0.031267278,0.005414403,0.024528794,0.09847472,0.0065283356,0.19357955,0.6308305,0.009376405
28,"Yeah, well, not at the moment, but stairs, perhaps at some point in the future.",0.014118247,0.001046507,0.026177596,0.32646948,0.0045880135,0.029209765,0.58327526,0.015115131
29,"Yes. Well, also outside the house is two dozen stairs up from the road to the house, so maybe I'll have to move at some point.",0.050294243,0.003925788,0.18131293,0.34271768,0.0609888,0.1111549,0.22443202,0.025173659
30,"Oh, there will be no look area,.",0.0027398318,0.0010332175,0.0058044684,0.12308738,0.29664356,0.2982683,0.18594246,0.0864808
31,"Transport is probably one chance for trying to get in and out because they can't use buses or taxis because I have difficulty trying to get into a door had trouble getting your car, you know? Yeah, and quite tall. Not quite as you bend, I've got back and hip problem. I can't kind of move properly. It's difficult with me. So is transport is a an issue.",0.006154339,1.7572738e-05,0.0017412631,0.05614625,0.0032832266,0.00027757057,0.93226844,0.00011135074
32,"I'm glad you mentioned that because transport will be the top of my list. And the reason being that as long as I can get on a bus and I can celebrate it in a bus stop, I can see my children and one lives in Launceston. One lives in Woodbridge and two and a half hours on the bus. But the only problem I've got with buses are and get on the bus at the moment and get off. But. I've got a hopefully I can manage without a wee until I get to Bodmin.",0.009456751,0.00050744275,0.06908618,0.538869,0.0050109695,0.010925185,0.35085174,0.015292687
33,pretty soon because it stops them enough above me for me to get out and have a pea that I've got to tell you this too.,0.004220706,0.00025118847,0.0058515156,0.16490531,0.0063376375,0.23430339,0.57633656,0.0077936915
34,"Yeah, yeah, no. I'm sure I could go all the way to Bodmin to do a wee, awfull.",0.037075147,0.0055487375,0.036672764,0.37059876,0.16614905,0.14319324,0.14602847,0.09473381
35,"Yeah, I've already mentioned we're right. Yeah. You know, I've been since, you know, legally here.",0.020875882,0.003969326,0.009851294,0.33896482,0.06756272,0.30161202,0.16172707,0.095436856
36,"It's no, definitely not. But um. I think it's a good way of being in contact with people in families. I know it's nice to be together, but with everything we've gone through, you know, on Zoom or other social media, you can be your messenger through Facebook and it is good you can see your family talking to, you know, um,",0.00276698,0.0003944434,0.044583287,0.12039393,0.0010215103,0.0012588324,0.82927203,0.00030899156
