,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation
0,"Well, this. Well, you don't want any meal kit now.",0.040080056,0.008374933,0.03179476,0.04207364,0.074145146,0.37792563,0.39929733,0.026308527
1,"You want your independence. Yeah, yeah. So it's been kind of a bit of freedom as well. You know, you've worked all your life lived all your life independently and then to get somebody else to be telling you what you should be doing. Yeah. You know, while you can still do it yourself, you understand?",0.010265393,0.00052597217,0.043098427,0.1125248,0.00045005776,0.026786797,0.8043193,0.0020292448
2,Having your kids do it on the phone.,0.07375052,0.006157208,0.012141321,0.6911085,0.030934708,0.036448132,0.14516163,0.004297944
3,"Oh yeah. I don't want to be sat in a chair then, and old people just want when it's time.",0.29894668,0.014565031,0.13687572,0.10502726,0.018852048,0.047006745,0.3650538,0.013672725
4,"I think if you live in a home and you really become institutionalised, you know, I I mean, I know many people that have moved to the home and they were they were finaly independent in their own home, but they've completely changed when they go into their homes. That's one reason why I want to stay in my own home.",0.06767373,0.0010592686,0.08628186,0.089680865,0.059086584,0.006965648,0.68830484,0.00094722136
5,"And, you know, people could stay longer independently in their own home, but still might need a bit of support, like a bit of a care package, somebody coming in, maybe just to check on them, not necessarily to do something for them, but just to check their all right. And they've taken the medication, you know, and that helps them stay longer. They don't actually want somebody in there.",0.21259809,0.100079834,0.07051943,0.010969477,0.1502832,0.13313204,0.31724977,0.0051681525
6,"But that's that can be quite spooky as well, because I've worked with people with dementia and they put in place different needs to keep them safe at home, like. They they made a recording of their daughter's voice, prompting them to take their medication. Yeah, and it's like that. Well, that can be spooky. If you've got dementia you suddenly got your daughter talking at 10 o'clock at night. Yeah. You she then spent the next few hours looking for her.",0.19831519,0.047523934,0.046427447,0.08260438,0.097817354,0.31348908,0.1911535,0.022669114
7,"No. You know, there was like sensor pads in the bed. But if you set it for eight o'clock in the morning and if you weren't at that bed by 8:30, you get a prompt for what we would like laying but  you know. That type of thing, we have physically seen where voice is coming from. I think here is as an adverse effect on a lot of people.",0.039087895,0.00048075148,0.27302927,0.45213667,0.0006407248,0.00035454173,0.23258446,0.001685672
8,"I've found too. My aunt's got dementia and I was talking to her on the phone when she was still answering the phone and she'd be going on about these people cooking all these lovely meals and then drinking my wine, she said. I've paid for it. They never offered me any and I never get the meal. I was really surprised about this because she got a carer and I wasn't too sure of. And then it tweaked I said: have you got and it was John and Lisa on cooking on a Saturday morning on the television, and she said the television was was real. It took me a while to dig in because she is...",0.014465632,0.007016197,0.10349342,0.65915096,0.018714081,0.054120995,0.14167567,0.001363054
9,"Did you say, Jill, that she had dementia?",0.05115169,0.037652005,0.15793838,0.08589963,0.10227206,0.11320555,0.44481492,0.007065772
10,"Yes, she said she got diagnosed",0.0028591275,0.0030073475,0.0071819057,0.08598413,0.021488726,0.7213158,0.15149033,0.0066726143
11,"with Alzheimer's dementia, it's very very difficult. You have to worry about a robot.",0.0053897565,0.00020838222,0.057326738,0.011707971,0.0015115261,0.0023365496,0.91886586,0.0026532144
12,"we deviate until she's got a brain. So much, much harder. Yes. Yes. So this is not what we are.",0.0041317767,0.0011675343,0.04723808,0.20636132,0.05177864,0.18082513,0.49711812,0.011379407
13,Walking. Going outside and walking everyday you have to do.,0.007051505,0.00026375923,0.019047718,0.8335963,0.013672743,0.020037377,0.100347914,0.005982672
14,"Yeah, yeah, we do. When you took it, you did. Four of us here do Taichi, dancing.",0.0011390875,9.337003e-05,0.010193192,0.8419479,0.009559171,0.041326113,0.080859534,0.014881602
15,"I thought we'd been on hold. Yeah. Yeah. If we're walking for health today,",0.0202312,0.00090467546,0.010696875,0.31530246,0.058356497,0.31764656,0.19147511,0.08538665
16,an we do DJ dancing. Don't forget our DJ dancing. Sorry because the racing is starting these days?,0.0016322392,0.00036266862,0.012731128,0.85987175,0.004793483,0.03280765,0.06069404,0.027107023
17,"I think it's going out into the Fresh air. I say that. But if I just let you use it fresh off, they need you to just go out. Yeah, I think it's expensive that I think as a matter of law, you can you could use it as well. Yes, I can live outside well, it's 50 times what. But once you get to the stage when some things that might help stem",0.101502374,0.0046621915,0.20355026,0.054192472,0.0023544233,0.013801799,0.6098229,0.010113558
18,"You know the Taichi, with a lot of older people, they don't realise it, but it is so good for you. Oh yeah. Do you konw if you get something really wrong with you and you have a physio? Let's say a physio, most of the exercises they do is the same ones that we do at Taichi, and it's just ample. Do you agree that it's good for you?",0.0050354195,0.0032672114,0.029603064,0.029966248,0.00437987,0.016182441,0.90649915,0.00506659
19,"Because it's a social event as well, it's not just going for the exercise.It's a social adventure, it sounds lovely.",0.0007483559,0.00013182392,0.0020595966,0.7751577,0.0029651264,0.04308693,0.15672511,0.01912538
20,"Sorry, we shouted out the poor boy.",0.011017623,0.0150206145,0.02033147,0.04759686,0.100348614,0.57121575,0.23041694,0.0040521445
21,It's a man man. Laughs. We do all lessons.,0.0009359907,2.0529842e-05,0.0048233382,0.21928182,0.0007592668,0.00086206204,0.7728319,0.00048507968
22,"I tell you what, we'll take you with the nap state.",0.04573344,0.0019384426,0.038155727,0.029482055,0.004836137,0.0084478,0.8623394,0.00906703
23,You can come on first.,0.0017279626,0.00022818886,0.0027231658,0.0038628874,0.002040304,0.020703766,0.94345766,0.025256038
24,I think I did Taichi and like this. It's like some all gentle exercise. It's chinese.I did it in China and ...,0.031309087,0.0016449145,0.039116766,0.36665496,0.08732352,0.08171055,0.38012072,0.012119491
25,"give me a bouncing ball, fans, and sticks  and they are very ...",0.120175354,0.015509434,0.14267012,0.32895702,0.051927906,0.056156185,0.27339852,0.011205463
26,"All right. So is there another reason for going out is the communication, even if you have only have a few words with a stranger and say, Good morning, how are you? Because it's so like, OK, it's so easy when you're on your own to lose the power of speaking. If you like of having a conversation, if you're on your own all the time, you're just sharing a television set and you're not getting anything constructive back from it.",0.11039825,0.38989756,0.08274556,0.011295056,0.00942999,0.18226667,0.11451426,0.09945266
27,So it is quite easy then over time to lose the art of conversation.,0.20670754,0.005382569,0.0551607,0.27111402,0.11012215,0.045962606,0.29035592,0.015194494
28,I sit on your board as well if you want to put swimming.,0.051030673,0.0035629314,0.0122244675,0.017854907,0.003259368,0.024574064,0.8838732,0.0036203477
29,"Yeah, in the life centre swimming.",0.0011740716,5.9404672e-05,0.008134526,0.96882355,0.0006855497,0.0052818563,0.013982805,0.0018582465
30,"And that's that's good, because it's easier than most exercises, isn't it? swimming in the water",0.005645053,0.00047290063,0.041324537,0.7005014,0.010282906,0.03988201,0.18839683,0.013494365
31,just walk around again. Hmm. I don't want to Taichi. I do volunteering and I I'm back at Food Bank.,0.012056658,0.002276904,0.098496154,0.4357416,0.20062329,0.1157692,0.06828068,0.066755496
32,"Coating on footwear, self-care. Yes. Some people come when they go into the shoes to do the shoes ...",0.023581503,0.024492089,0.025667721,0.13014357,0.044111982,0.22072837,0.52505815,0.006216632
33,"Yeah, I think it's important to keep in mind up to this. Well, very important.",0.0033626175,0.00028387213,0.024315387,0.04024676,0.0035075617,0.07223806,0.8367867,0.019259082
34,"Puzzles, crosswords, reading. Mm hmm. Yeah. Well, all the media stuff.",0.015575597,0.003317486,0.008571931,0.30022255,0.080433786,0.3890964,0.1887529,0.014029339
35,"You've also got to be able to adapt to a change in your lifestyle. Things that you could quite easily do with, you know, you have domestic chores, putting the garbage outside, things like that. Sometimes you've got to adapt and find a different way of doing something that you're able to do so that you can still carry on doing it. It's not causing you any distress or worry. Simple things like my son in law, my son in law, my grandson has just moved everything off the top shelf to the middle shelf, in the kitchen cupboard because I've shrunk a bit and I can't reach the top ones anymore. So he's put the ones I don't use very much up there and put all the",0.15233089,0.0013560331,0.04230818,0.31935573,0.3733271,0.026673883,0.08411909,0.0005291108
36,"Yeah. So that. Every time they come out, I'm not saying, can you get me this, can you get me that? Yeah, he's already then for me. So, you know, you've got to look to adapt rather than say, I can't do something. You've got to try and find a different way of doing it.",0.03900926,0.076180525,0.1473754,0.017029606,0.0102274325,0.0049855267,0.69138247,0.013809749
37,You've got to be careful with walking as well because of the stairs and ...,0.079281576,0.005303899,0.094704546,0.19045846,0.01404075,0.010735633,0.60233426,0.0031408875
38,"It causes it for pure nativism because I always hated House, but I forgot how hard it was hard to get enthusiastic about all these days. Laughs.",0.049997963,0.011734769,0.0050925477,0.8047859,0.07145105,0.03670509,0.00907672,0.011155979
39,It can be soul destroying because you aren't going to do it again.,0.013730729,0.0010558814,0.011609613,0.033859685,0.030611668,0.01535993,0.8913505,0.0024219991
40,What's that?,0.02257162,0.0138143115,0.06295383,0.06303905,0.023981009,0.43650573,0.35965303,0.017481415
41,House works.,0.0010991507,0.00037468757,0.0013102731,0.8651123,0.005874071,0.08903312,0.03147054,0.0057258327
42,"Oh, I hate it. Well, nobody likes it.I don't know some people do.",0.087605044,0.01607178,0.025395198,0.03327412,0.10588344,0.54248494,0.18290839,0.0063770832
43,We get going.,0.0034914142,0.0007342038,0.013093317,0.092611566,0.004953416,0.022619566,0.8542073,0.008289223
44,"I tell you what is missing, is family. Yeah. If you're seeing your grand children and things like that, that visual let you have done it.",0.00017490961,1.5195627e-06,0.003288486,0.9923155,0.0002757765,3.866909e-05,0.0039050658,9.8367934e-08
