,term,rank
1321,people,28.96400469492168
1032,laugh,16.699107312400272
1074,live,13.33039491993911
1836,time,13.300693645419331
688,family,13.21498222175725
809,good,11.782021617630791
896,home,10.97838371261614
1661,social,9.815702574104726
1801,technology,9.615013585955591
932,important,9.510136130533898
2014,year,9.035548810265166
1608,shopping,8.552092023285837
1060,life,8.322820231232047
1251,older,8.098135476872272
1696,stair,8.056567726457233
1116,make,8.02031137847475
196,big,7.99345919776659
1218,nice,7.974823446829643
149,back,7.9683612425967905
762,friend,7.809127974479753
1670,sort,7.639597907667733
1008,kind,7.414288833127662
910,house,7.180817207722032
338,child,7.124231419133293
710,find,7.115952726972223
204,bit,6.971145133521868
1337,phone,6.898899771253384
1161,mind,6.861401489563937
797,give,6.726608893474028
1932,walk,6.712760252646456
1826,thing,6.4288926579851395
1992,work,6.234970865424238
1210,negative,6.211265161244566
1935,walking,6.196044306502924
289,care,6.153223937407499
485,day,6.059553426654252
1342,physical,5.952000086797818
303,cat,5.867913429095726
286,car,5.834262175712465
1741,stuff,5.823952641376486
269,bus,5.720210501779459
1408,problem,5.706375298753178
1631,sit,5.546038747312561
699,feel,5.496978177984313
1355,place,5.477859927301645
584,drive,5.421419921541339
539,difficult,5.329247292021358
1330,person,5.228232568612875
388,coming,5.207038993646511
1098,love,5.196759830475481
1593,service,5.141720470418384
152,bad,5.0488911699852155
1828,thinking,5.04400791026887
1191,move,5.037843397375108
855,hard,5.0268953077289185
657,exercise,5.003579830911102
1182,morning,4.999571956300011
1709,stay,4.977793079994507
173,bath,4.973311039953618
1786,talk,4.966496159657721
1954,week,4.885626730702904
1858,transport,4.733719094288051
724,flat,4.673062197016037
278,call,4.630910492305999
483,daughter,4.554008771192961
1831,thought,4.550838650815747
1179,money,4.486536432263014
1104,lucky,4.353891018878416
1763,suppose,4.329687027168142
1789,talking,4.316761823673395
56,activity,4.27624963169173
2000,worry,4.276160256643544
398,company,4.201961593442073
397,community,4.1681256623554175
677,face,4.165891927665145
1889,understand,4.154208503047339
569,door,4.141371727729386
678,facebook,4.078501726121245
76,age,4.031243182864057
831,group,3.973400420696172
734,food,3.9694094113479648
992,job,3.955236123414549
1311,pay,3.9081900011543897
1062,lift,3.873885288073371
1366,plymouth,3.795765041252125
1142,meet,3.7946586901722785
1532,room,3.7897110749310574
644,environment,3.735095835007
1087,long,3.688018933907364
878,helpful,3.600724837062711
40,absolutely,3.584114830624774
46,access,3.579757752933364
1076,living,3.5513239849193075
1192,moved,3.475211734923456
1842,today,3.4691244932638274
1723,stop,3.4561239369601684
1119,man,3.449537735899301
164,barbican,3.4464811994106466
421,contact,3.4446806664424647
867,health,3.4068027774990655
1663,socialising,3.395176834754064
1176,mom,3.3895002712463542
1063,light,3.3797787119241076
322,change,3.347065717561454
430,cooking,3.3196824155933164
1162,mine,3.3083513059309233
1522,ring,3.294167774493707
1607,shop,3.2814904703937797
1880,tv,3.2684498807941202
833,guess,3.243916030773955
406,computer,3.2298091678545418
373,coffee,3.2051681014794977
1845,told,3.1818411048940156
776,future,3.170623574226996
870,hearing,3.136518186196799
1092,lose,3.122941608448027
1849,top,3.122321063171512
1384,positive,3.083098638038587
563,dog,3.017867681184839
752,found,3.010659574638521
901,hope,3.005888711473671
1782,taichi,3.0023935194375517
59,adaptation,2.9799298838438153
