,Unnamed: 0,Name,Gender,Time,Text
0,0,Speaker 1,F,00:04:38,meal kit
1,1,Speaker 2,F,00:04:46,independence kind bit freedom worked life lived life independently telling understand
2,2,Speaker 3,F,00:05:04,kid phone
3,3,Speaker 1,F,00:05:06,sat chair people time
4,4,Speaker 4,F,00:05:27,live home institutionalised people moved home finaly independent home completely changed home reason stay home
5,5,Speaker 1,F,00:05:49,people stay longer independently home bit support bit care package coming check necessarily check medication stay longer
6,6,Speaker 1,F,00:06:20,spooky worked people dementia put place safe home made recording daughter voice prompting medication spooky dementia suddenly daughter talking 10 clock night spent hour
7,7,Speaker 2,F,00:06:49,sensor pad bed set clock morning bed 8 30 prompt laying type thing physically voice coming adverse effect lot people
8,8,Speaker 3,F,00:07:15,found aunt dementia talking phone answering phone people cooking lovely meal drinking wine paid offered meal surprised carer tweaked john lisa cooking saturday morning television television real dig
9,9,Speaker 4,F,00:08:06,jill dementia
10,10,Speaker 3,F,00:08:09,diagnosed
11,11,Speaker 4,F,00:08:11,alzheimer dementia difficult worry robot
12,12,Speaker 5,F,00:08:30,deviate brain harder
13,13,Speaker 5,F,00:08:55,walking walking everyday
14,14,Speaker 4,F,00:09:04,taichi dancing
15,15,Speaker 4,F,00:09:16,thought hold walking health today
16,16,Speaker 4,F,00:09:23,dj dancing forget dj dancing racing starting day
17,17,Speaker 3,F,00:09:31,fresh air fresh expensive matter law live 50 time stage thing stem
18,18,Speaker 4,F,00:10:15,taichi lot older people realise good konw wrong physio physio exercise taichi ample agree good
19,19,Speaker 4,F,00:10:39,social event exercise social adventure sound lovely
20,20,Speaker 1,F,00:10:53,shouted poor boy
21,21,Speaker 4,F,00:10:55,man man laugh lesson
22,22,Speaker 3,F,00:10:58,nap state
23,23,Speaker 6,F,00:11:01,
24,24,Speaker 5,F,00:11:02,taichi gentle exercise chinese china
25,25,Speaker 4,F,00:11:15,give bouncing ball fan stick
26,26,Speaker 4,F,00:11:31,reason communication word stranger good morning easy lose power speaking conversation time sharing television set constructive back
27,27,Speaker 4,F,00:12:01,easy time lose art conversation
28,28,Speaker 6,F,00:12:07,sit board put swimming
29,29,Speaker 6,F,00:12:14,life centre swimming
30,30,Speaker 5,F,00:12:20,good easier exercise swimming water
31,31,Speaker 1,F,00:12:43,walk hmm taichi volunteering back food bank
32,32,Speaker 3,F,00:13:04,coating footwear care people shoe shoe
33,33,Speaker 1,F,00:13:49,important mind important
34,34,Speaker 1,F,00:14:00,puzzle crossword reading mm hmm medium stuff
